"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 6810 0000 003C 3450 CC4D","1583733183146312","922.75","-47","0.217825271879761"
"E280 6810 0000 003C 3450 CC4D","1583733183154240","922.75","-47.5","0.0859029241215959"
"E280 6810 0000 003C 3450 CC4D","1583733183191138","922.75","-53","0.0582912699396544"
"E280 6810 0000 003C 3450 CC4D","1583733183201555","922.75","-51.5","0.300660234425586"
"E280 6810 0000 003C 3450 CC4D","1583733183237896","922.75","-53","0.607456392002714"
"E280 6810 0000 003C 3450 CC4D","1583733183249157","922.75","-53","0.601320468851171"
"E280 6810 0000 003C 3450 CC4D","1583733183286502","922.75","-53.5","0.171805848243192"
"E280 6810 0000 003C 3450 CC4D","1583733183295465","922.75","-52","0.328271888607527"
"E280 6810 0000 003C 3450 CC4D","1583733183343793","925.25","-49","2.84706834231575"
"E280 6810 0000 003C 3450 CC4D","1583733183351610","925.25","-50","0.0889708856973672"
"E280 6810 0000 003C 3450 CC4D","1583733183391008","925.25","-52","6.25250569142187"
"E280 6810 0000 003C 3450 CC4D","1583733183399549","925.25","-52.5","6.27704938402804"
"E280 6810 0000 003C 3450 CC4D","1583733183437421","925.25","-52","6.03774838111788"
"E280 6810 0000 003C 3450 CC4D","1583733183638791","922.25","-52.5","0.607456392002714"
"E280 6810 0000 003C 3450 CC4D","1583733183675144","922.25","-50","0.825281663882475"
"E280 6810 0000 003C 3450 CC4D","1583733183684128","922.25","-49","0.754718547639735"
"E280 6810 0000 003C 3450 CC4D","1583733183722207","922.25","-47.5","0.763922432367049"
"E280 6810 0000 003C 3450 CC60","1583733183726690","922.25","-50","2.38687410595006"
"E280 6810 0000 003C 3450 CC60","1583733183733014","922.25","-47","5.74629203141961"
"E280 6810 0000 003C 3450 CC4D","1583733183736291","922.25","-45","0.855961279640188"
"E280 6810 0000 003C 3450 CC60","1583733183773818","924.75","-47","5.84446680184429"
"E280 6810 0000 003C 3450 CC4D","1583733183778672","924.75","-41.5","0.770058355518592"
"E280 6810 0000 003C 3450 CC4D","1583733183786066","924.75","-41.5","0.93266031903447"
"E280 6810 0000 003C 3450 CC60","1583733183789933","924.75","-44.5","0.408038889577581"
"E280 6810 0000 003C 3450 CC60","1583733183825997","924.75","-40","0.54916512206306"
"E280 6810 0000 003C 3450 CC4D","1583733183829855","924.75","-39","4.86578705917325"
"E280 6810 0000 003C 3450 CC60","1583733183837094","924.75","-41","0.865165164367502"
"E280 6810 0000 003C 3450 CC4D","1583733183842274","924.75","-39","4.97623367590102"
"E280 6810 0000 003C 3450 CC60","1583733183880411","924.75","-31","1.48182544109753"
"E280 6810 0000 003C 3450 CC4D","1583733183883581","924.75","-37.5","5.83219495554121"
"E280 6810 0000 003C 3450 CC4D","1583733183891574","924.75","-37.5","5.89048622548086"
"E280 6810 0000 003C 3450 CC60","1583733183894910","924.75","-32","1.22104870715697"
"E280 6810 0000 003C 3450 CC60","1583733183932523","924.75","-25.5","1.71499052085615"
"E280 6810 0000 003C 3450 CC4D","1583733183935625","924.75","-35","0.294524311274043"
"E280 6810 0000 003C 3450 CC4D","1583733183945216","924.75","-35","0.377359273819868"
"E280 6810 0000 003C 3450 CC60","1583733183948912","924.75","-26","1.81009732970506"
"E280 6810 0000 003C 3450 CC4D","1583733183985409","927.25","-34.5","0.0889708856973672"
"E280 6810 0000 003C 3450 CC60","1583733183990770","927.25","-25","4.39332097650448"
"E280 6810 0000 003C 3450 CC60","1583733183999455","927.25","-25.5","1.90827210012974"
"E280 6810 0000 003C 3450 CC4D","1583733184002829","927.25","-37.5","6.2709134608765"
"E280 6810 0000 003C 3450 CC60","1583733184040503","927.25","-24.5","5.17871913990192"
"E280 6810 0000 003C 3450 CC4D","1583733184044689","927.25","-36.5","0.306796157577128"
"E280 6810 0000 003C 3450 CC4D","1583733184055844","927.25","-34.5","0.469398121093006"
"E280 6810 0000 003C 3450 CC60","1583733184060353","927.25","-20","1.38365067067285"
"E280 6810 0000 003C 3450 CC60","1583733184096302","927.25","-21.5","1.38671863224862"
"E280 6810 0000 003C 3450 CC4D","1583733184102186","927.25","-27.5","6.16046684414874"
"E280 6810 0000 003C 3450 CC4D","1583733184110039","927.25","-27","6.16046684414874"
"E280 6810 0000 003C 3450 CC60","1583733184113358","927.25","-24","1.24866036133891"
"E280 6810 0000 003C 3450 CC60","1583733184151662","927.25","-20","1.25172832291468"
"E280 6810 0000 003C 3450 CC4D","1583733184155032","927.25","-27.5","6.14205907469411"
"E280 6810 0000 003C 3450 CC60","1583733184161746","927.25","-21","1.26400016921777"
"E280 6810 0000 003C 3450 CC4D","1583733184165038","927.25","-27.5","6.14512703626988"
"E280 6810 0000 003C 3450 CC4D","1583733184204346","926.25","-28","6.25250569142187"
"E280 6810 0000 003C 3450 CC60","1583733184208466","926.25","-22.5","4.51297147795956"
"E280 6810 0000 003C 3450 CC4D","1583733184215379","926.25","-29.5","6.15433092099719"
"E280 6810 0000 003C 3450 CC60","1583733184218703","926.25","-21.5","1.35297105491514"
"E280 6810 0000 003C 3450 CC4D","1583733184257556","926.25","-36.5","0.291456349698272"
"E280 6810 0000 003C 3450 CC60","1583733184262491","926.25","-23.5","1.00629139685298"
"E280 6810 0000 003C 3450 CC60","1583733184267466","926.25","-23.5","0.944932165337555"
"E280 6810 0000 003C 3450 CC4D","1583733184273062","926.25","-36","0.337475773334841"
"E280 6810 0000 003C 3450 CC4D","1583733184310473","926.25","-36","0.208621387152447"
"E280 6810 0000 003C 3450 CC60","1583733184314369","926.25","-23.5","0.803805932852076"
"E280 6810 0000 003C 3450 CC4D","1583733184322848","926.25","-36","0.138058270909708"
"E280 6810 0000 003C 3450 CC60","1583733184326206","926.25","-24","3.81040827710793"
"E280 6810 0000 003C 3450 CC60","1583733184363400","926.25","-24.5","0.45405831321415"
"E280 6810 0000 003C 3450 CC4D","1583733184367103","926.25","-36.5","6.17887461360336"
"E280 6810 0000 003C 3450 CC4D","1583733184374816","926.25","-37","6.15739888257296"
"E280 6810 0000 003C 3450 CC60","1583733184378908","926.25","-24.5","0.319068003880213"
"E280 6810 0000 003C 3450 CC4D","1583733184415486","924.25","-38","0.125786424606623"
"E280 6810 0000 003C 3450 CC60","1583733184418621","924.25","-25.5","0.66881562351814"
"E280 6810 0000 003C 3450 CC60","1583733184426484","924.25","-25.5","0.638136007760427"
"E280 6810 0000 003C 3450 CC4D","1583733184432065","924.25","-38","0.0122718463030851"
"E280 6810 0000 003C 3450 CC4D","1583733184467330","924.25","-38.5","6.04388430426943"
"E280 6810 0000 003C 3450 CC60","1583733184473618","924.25","-26","0.285320426546729"
"E280 6810 0000 003C 3450 CC60","1583733184480299","924.25","-26.5","0.254640810789016"
"E280 6810 0000 003C 3450 CC4D","1583733184483400","924.25","-38.5","5.9180978796628"
"E280 6810 0000 003C 3450 CC4D","1583733184523440","924.25","-38.5","5.6297094915403"
"E280 6810 0000 003C 3450 CC60","1583733184527551","924.25","-27","6.13592315154256"
"E280 6810 0000 003C 3450 CC4D","1583733184535187","924.25","-38.5","5.53460268269139"
"E280 6810 0000 003C 3450 CC60","1583733184538728","924.25","-27","6.04388430426943"
"E280 6810 0000 003C 3450 CC4D","1583733184577605","924.25","-39","5.12656379311381"
"E280 6810 0000 003C 3450 CC60","1583733184580750","924.25","-27","2.45130129904125"
"E280 6810 0000 003C 3450 CC4D","1583733184586886","924.25","-38.5","4.55592294002035"
"E280 6810 0000 003C 3450 CC60","1583733184591222","924.25","-27","5.49778714378214"
"E280 6810 0000 003C 3450 CC60","1583733184627322","925.75","-26.5","1.56466040364335"
"E280 6810 0000 003C 3450 CC4D","1583733184632573","925.75","-38.5","0.656543777215054"
"E280 6810 0000 003C 3450 CC60","1583733184639089","925.75","-26","1.50330117212793"
"E280 6810 0000 003C 3450 CC4D","1583733184644332","925.75","-39","3.73677719928942"
"E280 6810 0000 003C 3450 CC60","1583733184682999","925.75","-26.5","0.987883627398353"
"E280 6810 0000 003C 3450 CC4D","1583733184686126","925.75","-39","3.74291312244096"
"E280 6810 0000 003C 3450 CC60","1583733184693048","925.75","-27","0.877437010670587"
"E280 6810 0000 003C 3450 CC4D","1583733184697724","925.75","-39","0.472466082668777"
"E280 6810 0000 003C 3450 CC60","1583733184733693","925.75","-28","0.463262197941464"
"E280 6810 0000 003C 3450 CC4D","1583733184739150","925.75","-39","3.17227226934751"
"E280 6810 0000 003C 3450 CC60","1583733184746230","925.75","-28","0.346679658062155"
"E280 6810 0000 003C 3450 CC4D","1583733184751350","925.75","-39","6.18194257517913"
"E280 6810 0000 003C 3450 CC60","1583733184788119","925.75","-29","6.16046684414874"
"E280 6810 0000 003C 3450 CC4D","1583733184791454","925.75","-39","5.78310757032887"
"E280 6810 0000 003C 3450 CC4D","1583733184800029","925.75","-39","5.70027260778304"
"E280 6810 0000 003C 3450 CC60","1583733184803505","925.75","-29","2.84400038073998"
"E280 6810 0000 003C 3450 CC60","1583733184839858","923.25","-31","0.0306796157577128"
"E280 6810 0000 003C 3450 CC4D","1583733184844476","923.25","-39.5","2.71207803298181"
"E280 6810 0000 003C 3450 CC60","1583733184853721","923.25","-30.5","6.2064862677853"
"E280 6810 0000 003C 3450 CC4D","1583733184857481","923.25","-39.5","5.73402018511653"
"E280 6810 0000 003C 3450 CC60","1583733184893944","923.25","-31","5.86594253287469"
"E280 6810 0000 003C 3450 CC4D","1583733184898422","923.25","-40","5.36586479602397"
"E280 6810 0000 003C 3450 CC60","1583733184905078","923.25","-31","5.74015610826807"
"E280 6810 0000 003C 3450 CC4D","1583733184909763","923.25","-39.5","5.25235021772044"
"E280 6810 0000 003C 3450 CC4D","1583733184946953","923.25","-40","4.94862202171908"
"E280 6810 0000 003C 3450 CC60","1583733184952871","923.25","-32","2.11689348728219"
"E280 6810 0000 003C 3450 CC60","1583733184959233","923.25","-32","2.06780610206984"
"E280 6810 0000 003C 3450 CC4D","1583733184963318","923.25","-40","1.63829148146186"
"E280 6810 0000 003C 3450 CC60","1583733185001321","923.25","-32.5","1.82850509915968"
"E280 6810 0000 003C 3450 CC4D","1583733185006384","923.25","-40.5","1.31001959285434"
"E280 6810 0000 003C 3450 CC60","1583733185012345","923.25","-32.5","1.74567013661386"
"E280 6810 0000 003C 3450 CC4D","1583733185016270","923.25","-40.5","1.25172832291468"
"E280 6810 0000 003C 3450 CC60","1583733185054756","926.75","-32","0.411106851153352"
"E280 6810 0000 003C 3450 CC4D","1583733185059661","926.75","-40","0.0122718463030851"
"E280 6810 0000 003C 3450 CC60","1583733185067276","926.75","-31.5","0.285320426546729"
"E280 6810 0000 003C 3450 CC4D","1583733185070715","926.75","-40","6.20341830620953"
"E280 6810 0000 003C 3450 CC4D","1583733185108854","926.75","-40.5","5.89969011020818"
"E280 6810 0000 003C 3450 CC60","1583733185112372","926.75","-31.5","6.23409792196725"
"E280 6810 0000 003C 3450 CC4D","1583733185120611","926.75","-40.5","5.81071922451081"
"E280 6810 0000 003C 3450 CC60","1583733185124554","926.75","-31.5","6.12365130523948"
"E280 6810 0000 003C 3450 CC60","1583733185162106","926.75","-32","5.86287457129892"
"E280 6810 0000 003C 3450 CC4D","1583733185166423","926.75","-40.5","5.48858325905482"
"E280 6810 0000 003C 3450 CC4D","1583733185174277","926.75","-40.5","5.43642791226671"
"E280 6810 0000 003C 3450 CC60","1583733185178019","926.75","-32","5.74629203141961"
"E280 6810 0000 003C 3450 CC60","1583733185214294","926.75","-32.5","5.49471918220637"
"E280 6810 0000 003C 3450 CC4D","1583733185219009","926.75","-40.5","5.12656379311381"
"E280 6810 0000 003C 3450 CC4D","1583733185226198","926.75","-40.5","5.07747640790147"
"E280 6810 0000 003C 3450 CC60","1583733185230096","926.75","-32.5","5.42108810438786"
"E280 6810 0000 003C 3450 CC60","1583733185267319","923.75","-34","6.08069984317868"
"E280 6810 0000 003C 3450 CC4D","1583733185272369","923.75","-41.5","5.52233083638831"
"E280 6810 0000 003C 3450 CC4D","1583733185278273","923.75","-41.5","2.33471875916195"
"E280 6810 0000 003C 3450 CC60","1583733185284123","923.75","-34","5.97945711117823"
"E280 6810 0000 003C 3450 CC4D","1583733185319075","923.75","-41.5","5.23701040984158"
"E280 6810 0000 003C 3450 CC60","1583733185325690","923.75","-34.5","5.76469980087424"
"E280 6810 0000 003C 3450 CC4D","1583733185333342","923.75","-42","5.17565117832615"
"E280 6810 0000 003C 3450 CC60","1583733185336637","923.75","-34.5","5.70640853093458"
"E280 6810 0000 003C 3450 CC60","1583733185374080","923.75","-34.5","5.53767064426716"
"E280 6810 0000 003C 3450 CC4D","1583733185377338","923.75","-42","4.93941813699176"
"E280 6810 0000 003C 3450 CC4D","1583733185385573","923.75","-42","4.90260259808251"
"E280 6810 0000 003C 3450 CC60","1583733185389454","923.75","-34.5","5.44563179699403"
"E280 6810 0000 003C 3450 CC4D","1583733185427614","923.75","-42","4.73386471141509"
"E280 6810 0000 003C 3450 CC60","1583733185430687","923.75","-34.5","5.24928225614466"
"E280 6810 0000 003C 3450 CC4D","1583733185440056","923.75","-42","4.57433070947498"
"E280 6810 0000 003C 3450 CC60","1583733185443192","923.75","-34.5","5.19712690935655"
"E280 6810 0000 003C 3450 CC60","1583733185480421","927.75","-34","0.736310778185108"
"E280 6810 0000 003C 3450 CC4D","1583733185484296","927.75","-37.5","2.71821395613336"
"E280 6810 0000 003C 3450 CC4D","1583733185493968","927.75","-38.5","5.86594253287469"
"E280 6810 0000 003C 3450 CC60","1583733185497949","927.75","-33.5","0.650407854063512"
"E280 6810 0000 003C 3450 CC4D","1583733185534831","927.75","-41.5","6.25864161457342"
"E280 6810 0000 003C 3450 CC60","1583733185538360","927.75","-33","0.527689391032661"
"E280 6810 0000 003C 3450 CC60","1583733185547260","927.75","-33","0.475534044244549"
"E280 6810 0000 003C 3450 CC4D","1583733185550399","927.75","-41","6.21262219093685"
"E280 6810 0000 003C 3450 CC4D","1583733185588178","927.75","-38.5","2.31017506655578"
"E280 6810 0000 003C 3450 CC60","1583733185593059","927.75","-34.5","0.223961195031304"
"E280 6810 0000 003C 3450 CC60","1583733185599640","927.75","-34.5","3.32567034813607"
"E280 6810 0000 003C 3450 CC4D","1583733185604293","927.75","-38","2.21506825770687"
"E280 6810 0000 003C 3450 CC4D","1583733185642155","927.75","-38","5.16951525517461"
"E280 6810 0000 003C 3450 CC60","1583733185646070","927.75","-34","6.23102996039147"
"E280 6810 0000 003C 3450 CC4D","1583733185652007","927.75","-38","1.96349540849362"
"E280 6810 0000 003C 3450 CC60","1583733185656075","927.75","-34","6.16660276730028"
"E280 6810 0000 003C 3450 CC4D","1583733185692903","922.75","-40.5","6.2279619988157"
"E280 6810 0000 003C 3450 CC60","1583733185698713","922.75","-35.5","1.08912635939881"
"E280 6810 0000 003C 3450 CC60","1583733185706185","922.75","-35","1.05844674364109"
"E280 6810 0000 003C 3450 CC4D","1583733185710920","922.75","-40.5","3.00046642110431"
"E280 6810 0000 003C 3450 CC4D","1583733185746319","922.75","-41","5.99172895748131"
"E280 6810 0000 003C 3450 CC60","1583733185750579","922.75","-34.5","0.880504972246358"
"E280 6810 0000 003C 3450 CC4D","1583733185758161","922.75","-41","5.94877749542052"
"E280 6810 0000 003C 3450 CC60","1583733185761812","922.75","-34.5","0.822213702306704"
