"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487306435084","922.25","-44.5","5.26155410244775"
"E200 9366 C6B6 5D71 9071 BD75","1583487306439132","922.25","-50.5","0.466330159517235"
"E200 9366 C6B6 63B1 9071 BD8E","1583487306442934","922.25","-46.5","5.36893275759974"
"E200 9366 C6B6 7371 9071 BDCD","1583487306446562","922.25","-37.5","4.97316571432525"
"E200 9366 C6B6 5571 9071 BD55","1583487306450561","922.25","-46","1.05844674364109"
"E200 9366 C6B6 7BF1 9071 BDEF","1583487306453626","922.25","-50","4.42706855383796"
"E200 9366 C6B6 65B1 9071 BD96","1583487306457810","922.25","-42","0.273048580243644"
"E200 9366 C6B6 5A31 9071 BD68","1583487306461314","922.25","-42.5","5.1603113704473"
"E200 9366 C6B6 55F1 9071 BD57","1583487306466507","922.25","-52","6.28011734560381"
"E200 9366 C6B6 6C31 9071 BDB0","1583487306470309","922.25","-52","4.65716567202081"
"E200 9366 C6B6 5771 9071 BD5D","1583487306473725","922.25","-53.5","1.34069920861205"
"E200 9366 C6B6 5771 9071 BD5D","1583487306479332","922.25","-53.5","1.30081570812702"
"E200 9366 C6B6 65B1 9071 BD96","1583487306483196","922.25","-42","0.279184503395187"
"E200 9366 C6B6 7371 9071 BDCD","1583487306487208","922.25","-37.5","4.98236959905256"
"E200 9366 C6B6 63B1 9071 BD8E","1583487306490995","922.25","-46.5","5.37506868075129"
"E200 9366 C6B6 6571 9071 BD95","1583487306495465","922.25","-46","0.966407896367954"
"E200 9366 C6B6 5571 9071 BD55","1583487306499537","922.25","-46","4.21231124353397"
"E200 9366 C6B6 5A31 9071 BD68","1583487306503191","922.25","-42.5","5.18485506305347"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487306506596","922.25","-44.5","5.29530167978123"
"E200 9366 C6B6 5D71 9071 BD75","1583487306510042","922.25","-50.5","0.484737928971863"
"E200 9366 C6B6 7BF1 9071 BDEF","1583487306513962","922.25","-50","4.39638893808025"
"E200 9366 C6B6 6C31 9071 BDB0","1583487306517056","922.25","-52","4.65102974886926"
"E200 9366 C6B6 55F1 9071 BD57","1583487306521374","922.25","-51.5","0.0368155389092554"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487306524648","922.25","-57","0.0153398078788564"
"E200 9366 C6B6 5771 9071 BD5D","1583487306560622","922.25","-53.5","4.45161224644413"
"E200 9366 C6B6 5D71 9071 BD75","1583487306564652","922.25","-50.5","3.675417967774"
"E200 9366 C6B6 65B1 9071 BD96","1583487306568579","922.25","-42","0.300660234425586"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487306572877","922.25","-44.5","2.13530125673681"
"E200 9366 C6B6 6C31 9071 BDB0","1583487306576551","922.25","-52","4.61114624838424"
"E200 9366 C6B6 7371 9071 BDCD","1583487306580644","922.25","-37.5","5.00691329165873"
"E200 9366 C6B6 5A31 9071 BD68","1583487306583943","922.25","-42.5","5.1817871014777"
"E200 9366 C6B6 6571 9071 BD95","1583487306588008","922.25","-46","4.10493258838198"
"E200 9366 C6B6 5571 9071 BD55","1583487306592627","922.25","-46","1.06151470521686"
