"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664436050","927.75","-44","0.892776818549443"
"E200 9366 C6B6 5A31 9071 BD68","1583487664440080","927.75","-42","3.2581751934691"
"E200 9366 C6B6 55F1 9071 BD57","1583487664443964","927.75","-50","5.80765126293504"
"E200 9366 C6B6 7371 9071 BDCD","1583487664447604","927.75","-38.5","0.134990309333936"
"E200 9366 C6B6 65B1 9071 BD96","1583487664451597","927.75","-44","4.87805890547634"
"E200 9366 C6B6 5771 9071 BD5D","1583487664454826","927.75","-51.5","5.12963175468958"
"E200 9366 C6B6 6571 9071 BD95","1583487664459426","927.75","-48","2.25801971976766"
"E200 9366 C6B6 7571 9071 BDD5","1583487664463391","927.75","-49.5","1.08299043624726"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664466804","927.75","-47","0.871301087519044"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664472693","927.75","-47","0.865165164367502"
"E200 9366 C6B6 7371 9071 BDCD","1583487664476223","927.75","-38.5","0.122718463030851"
"E200 9366 C6B6 65B1 9071 BD96","1583487664480683","927.75","-44","4.88726279020365"
"E200 9366 C6B6 55F1 9071 BD57","1583487664484343","927.75","-50","5.82605903238967"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664488473","927.75","-44","0.886640895397901"
"E200 9366 C6B6 5A31 9071 BD68","1583487664492175","927.75","-42","0.138058270909708"
"E200 9366 C6B6 6571 9071 BD95","1583487664495960","927.75","-48","5.42108810438786"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664500513","927.75","-54.5","4.06198112632118"
"E200 9366 C6B6 5571 9071 BD55","1583487664505664","927.75","-49","4.82283559711246"
"E200 9366 C6B6 5771 9071 BD5D","1583487664509412","927.75","-51.5","5.20019487093232"
"E200 9366 C6B6 7571 9071 BDD5","1583487664513805","927.75","-49.5","1.07071858994418"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664517094","927.75","-51","0.773126317094363"
"E200 9366 C6B6 5A31 9071 BD68","1583487664552821","927.75","-42","3.29192277080259"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664557514","927.75","-47","0.874369049094816"
"E200 9366 C6B6 6571 9071 BD95","1583487664561042","927.75","-48","5.42108810438786"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664564564","927.75","-44.5","0.914252549579842"
"E200 9366 C6B6 7371 9071 BDCD","1583487664568406","927.75","-38.5","0.116582539879309"
"E200 9366 C6B6 7571 9071 BDD5","1583487664571683","927.75","-49.5","1.08912635939881"
"E200 9366 C6B6 65B1 9071 BD96","1583487664575855","927.75","-44","4.85965113602171"
"E200 9366 C6B6 5571 9071 BD55","1583487664579279","927.75","-49","4.83203948183977"
"E200 9366 C6B6 55F1 9071 BD57","1583487664583037","927.75","-50","5.84446680184429"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664586307","927.75","-54.5","0.951068088489098"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664590375","927.75","-51","3.88403935492644"
"E200 9366 C6B6 5771 9071 BD5D","1583487664593596","927.75","-51.5","5.1173599083865"
"E200 9366 C6B6 6571 9071 BD95","1583487664599155","927.75","-48","5.46097160487288"
"E200 9366 C6B6 5A31 9071 BD68","1583487664603346","927.75","-42","0.110446616727766"
"E200 9366 C6B6 5571 9071 BD55","1583487664607148","927.75","-49","1.74260217503809"
"E200 9366 C6B6 7371 9071 BDCD","1583487664610861","927.75","-38.5","0.150330117212793"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664615381","927.75","-44.5","0.898912741700986"
"E200 9366 C6B6 65B1 9071 BD96","1583487664618930","927.75","-44","4.86271909759748"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664623345","927.75","-47","0.865165164367502"
"E200 9366 C6B6 7571 9071 BDD5","1583487664635492","922.25","-47.5","2.02178667843328"
"E200 9366 C6B6 55F1 9071 BD57","1583487664639306","922.25","-52","0.546097160487288"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664643086","922.25","-52.5","5.38734052705437"
"E200 9366 C6B6 5771 9071 BD5D","1583487664646465","922.25","-55","1.16582539879309"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664649602","922.25","-57","6.23716588354302"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664684865","922.25","-57","6.27704938402804"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664688833","922.25","-46.5","5.70640853093458"
"E200 9366 C6B6 5A31 9071 BD68","1583487664692899","922.25","-42.5","5.22473856353849"
"E200 9366 C6B6 7371 9071 BDCD","1583487664696545","922.25","-38","5.10508806208341"
"E200 9366 C6B6 65B1 9071 BD96","1583487664700390","922.25","-41.5","0.340543734910612"
"E200 9366 C6B6 6571 9071 BD95","1583487664704328","922.25","-46","4.59273847892961"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664707537","922.25","-44","2.13836921831258"
"E200 9366 C6B6 5771 9071 BD5D","1583487664711168","922.25","-54.5","1.14128170618692"
"E200 9366 C6B6 55F1 9071 BD57","1583487664714758","922.25","-52","0.530757352608432"
"E200 9366 C6B6 5571 9071 BD55","1583487664718146","922.25","-49","0.751650586063964"
"E200 9366 C6B6 7571 9071 BDD5","1583487664721299","922.25","-47","2.00644687055442"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664724584","922.25","-52.5","5.37506868075129"
"E200 9366 C6B6 7371 9071 BDCD","1583487664730744","922.25","-38","5.10508806208341"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664734271","922.25","-44","5.30143760293278"
"E200 9366 C6B6 55F1 9071 BD57","1583487664738095","922.25","-52","0.530757352608432"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664742072","922.25","-52.5","2.21506825770687"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664745448","922.25","-46.5","5.6941366846315"
"E200 9366 C6B6 65B1 9071 BD96","1583487664749090","922.25","-41.5","0.346679658062155"
"E200 9366 C6B6 7571 9071 BDD5","1583487664753141","922.25","-47.5","2.00951483213019"
"E200 9366 C6B6 6571 9071 BD95","1583487664756620","922.25","-46","4.63262197941464"
"E200 9366 C6B6 5771 9071 BD5D","1583487664760198","922.25","-54.5","1.1320778214596"
"E200 9366 C6B6 5A31 9071 BD68","1583487664763530","922.25","-42.5","2.09234979467601"
"E200 9366 C6B6 5571 9071 BD55","1583487664766785","922.25","-49","0.745514662912422"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664769962","922.25","-56.5","6.19728238305799"
"E200 9366 C6B6 5A31 9071 BD68","1583487664805658","922.25","-42.5","5.22780652511427"
"E200 9366 C6B6 7371 9071 BDCD","1583487664809680","922.25","-38","1.97883521637248"
"E200 9366 C6B6 65B1 9071 BD96","1583487664813738","922.25","-41.5","0.352815581213697"
"E200 9366 C6B6 55F1 9071 BD57","1583487664817707","922.25","-52","0.536893275759974"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664822257","922.25","-52.5","5.32291333396318"
"E200 9366 C6B6 6571 9071 BD95","1583487664836415","925.25","-47","0.251572849213245"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664839797","925.25","-44","1.49409728740061"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664843158","925.25","-46.5","4.721592865112"
"E200 9366 C6B6 5771 9071 BD5D","1583487664846689","925.25","-52.5","6.2279619988157"
"E200 9366 C6B6 7571 9071 BDD5","1583487664849912","925.25","-48.5","1.41433028643056"
"E200 9366 C6B6 5571 9071 BD55","1583487664852956","925.25","-49","5.88741826390509"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664856093","925.25","-55","5.11429194681073"
"E200 9366 C6B6 55F1 9071 BD57","1583487664861507","925.25","-51.5","0.128854386182394"
"E200 9366 C6B6 6571 9071 BD95","1583487664865529","925.25","-47","0.273048580243644"
"E200 9366 C6B6 7371 9071 BDCD","1583487664869527","925.25","-38","4.10493258838198"
"E200 9366 C6B6 7571 9071 BDD5","1583487664873836","925.25","-48.5","1.38058270909708"
"E200 9366 C6B6 5771 9071 BD5D","1583487664877486","925.25","-52.5","6.25250569142187"
"E200 9366 C6B6 5A31 9071 BD68","1583487664880758","925.25","-42","4.18469958935203"
"E200 9366 C6B6 65B1 9071 BD96","1583487664884997","925.25","-42.5","5.61743764523722"
"E200 9366 C6B6 5571 9071 BD55","1583487664888735","925.25","-49","5.87821437917778"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664892390","925.25","-51.5","4.65102974886926"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664896108","925.25","-44","1.45421378691559"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664899360","925.25","-46.5","1.60761186570415"
"E200 9366 C6B6 6BF1 9071 BDAF","1583487664902524","925.25","-54.5","5.14803952414421"
"E200 9366 C6B6 63B1 9071 BD8E","1583487664938745","925.25","-46.5","4.7860200582032"
"E200 9366 C6B6 65B1 9071 BD96","1583487664942469","925.25","-42.5","5.6297094915403"
"E200 9366 C6B6 5A31 9071 BD68","1583487664946520","925.25","-42","4.1877675509278"
"E200 9366 C6B6 6C31 9071 BDB0","1583487664950371","925.25","-51.5","4.60194236365692"
"E200 9366 C6B6 7BB1 9071 BDEE","1583487664954152","925.25","-44","1.47875747952176"
"E200 9366 C6B6 7371 9071 BDCD","1583487664957779","925.25","-38","4.1233403578366"
"E200 9366 C6B6 6571 9071 BD95","1583487664961582","925.25","-47","0.245436926061703"
