"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 63B1 9071 BD8E","1583730323722327","922.75","-39.5","1.26706813079354"
"E200 9366 C6B6 6571 9071 BD95","1583730323725480","922.75","-45","0.656543777215054"
"E200 9366 C6B6 55F1 9071 BD57","1583730323729283","922.75","-49.5","0.564504929941916"
"E200 9366 C6B6 6C31 9071 BDB0","1583730323733334","922.75","-43.5","4.95475794487062"
"E200 9366 C6B6 65B1 9071 BD96","1583730323736652","922.75","-45","1.60147594255261"
"E200 9366 C6B6 7371 9071 BDCD","1583730323740521","922.75","-50","4.49149574692916"
"E200 9366 C6B6 5571 9071 BD55","1583730323744723","922.75","-48","0.521553467881118"
"E200 9366 C6B6 79F1 9071 BDE7","1583730323747789","922.75","-55","5.76163183929847"
"E200 9366 C6B6 6BF1 9071 BDAF","1583730323752503","922.75","-53","0.785398163397448"
"E200 9366 C6B6 57B1 9071 BD5E","1583730323755743","922.75","-54.5","1.21491278400543"
"E200 9366 C6B6 6571 9071 BD95","1583730323796534","922.75","-45","0.647339892487741"
"E200 9366 C6B6 5571 9071 BD55","1583730323800432","922.75","-48.5","0.536893275759974"
"E200 9366 C6B6 55F1 9071 BD57","1583730323804316","922.75","-49.5","0.579844737820772"
"E200 9366 C6B6 65B1 9071 BD96","1583730323808009","922.75","-45","1.58613613467375"
"E200 9366 C6B6 6BF1 9071 BDAF","1583730323811990","922.75","-53","0.779262240245906"
"E200 9366 C6B6 6C31 9071 BDB0","1583730323815313","922.75","-43.5","4.96089386802216"
"E200 9366 C6B6 63B1 9071 BD8E","1583730323819104","922.75","-39.5","4.42400059226219"
"E200 9366 C6B6 7371 9071 BDCD","1583730323822417","922.75","-50","4.51603943953533"
"E200 9366 C6B6 79F1 9071 BDE7","1583730323825625","922.75","-55","5.78617553190464"
"E200 9366 C6B6 57B1 9071 BD5E","1583730323828673","922.75","-55","1.26400016921777"
"E200 9366 C6B6 7371 9071 BDCD","1583730323836631","922.75","-50","4.52524332426264"
"E200 9366 C6B6 55F1 9071 BD57","1583730323840082","922.75","-49.5","0.570640853093458"
"E200 9366 C6B6 6C31 9071 BDB0","1583730323843936","922.75","-43.5","4.97623367590102"
"E200 9366 C6B6 63B1 9071 BD8E","1583730323847991","922.75","-40","1.28547590024817"
"E200 9366 C6B6 6571 9071 BD95","1583730323851129","922.75","-45","0.662679700366597"
"E200 9366 C6B6 65B1 9071 BD96","1583730323854951","922.75","-45","1.62295167358301"
"E200 9366 C6B6 5571 9071 BD55","1583730323858659","922.75","-48.5","0.530757352608432"
"E200 9366 C6B6 6BF1 9071 BDAF","1583730323863139","922.75","-53","0.782330201821677"
