"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1558676378763793","924.25","-44.5","4.66023363359658"
"E200 9366 C6B6 1231 9071 BC48","1558676378800975","924.25","-45","4.71852490353623"
"E200 9366 C6B6 1231 9071 BC48","1558676378854691","924.25","-45","4.65716567202081"
"E200 9366 C6B6 1231 9071 BC48","1558676378880954","924.25","-45","4.60807828680847"
"E200 9366 C6B6 1231 9071 BC48","1558676378937335","924.25","-45","4.66330159517235"
"E200 9366 C6B6 1231 9071 BC48","1558676378985453","925.75","-45","4.18469958935203"
"E200 9366 C6B6 1231 9071 BC48","1558676379040649","925.75","-44.5","4.21537920510974"
"E200 9366 C6B6 1231 9071 BC48","1558676379066771","925.75","-44.5","4.23992289771591"
"E200 9366 C6B6 1231 9071 BC48","1558676379121810","925.75","-45","4.23992289771591"
"E200 9366 C6B6 1231 9071 BC48","1558676379168548","926.25","-45.5","4.03436947213924"
"E200 9366 C6B6 1231 9071 BC48","1558676379231157","926.25","-45.5","4.15401997359432"
"E200 9366 C6B6 1231 9071 BC48","1558676379256000","926.25","-45","4.09879666523043"
"E200 9366 C6B6 1231 9071 BC48","1558676379311113","926.25","-45","4.15401997359432"
"E200 9366 C6B6 1231 9071 BC48","1558676379336615","926.25","-45","4.03130151056347"
"E200 9366 C6B6 1231 9071 BC48","1558676379417788","922.75","-44","5.09895213893187"
"E200 9366 C6B6 1231 9071 BC48","1558676379442308","922.75","-44.5","5.2032628325081"
"E200 9366 C6B6 1231 9071 BC48","1558676379497399","922.75","-44","5.11122398523496"
"E200 9366 C6B6 1231 9071 BC48","1558676379522245","922.75","-44.5","5.16644729359884"
"E200 9366 C6B6 1231 9071 BC48","1558676379576879","922.25","-44.5","5.28302983347815"
"E200 9366 C6B6 8171 9071 BE05","1558676379610861","922.25","-67","5.24621429456889"
"E200 9366 C6B6 1231 9071 BC48","1558676379639758","922.25","-44.5","5.26462206402352"
"E200 9366 C6B6 8171 9071 BE05","1558676379659964","922.25","-63.5","2.73048580243644"
"E200 9366 C6B6 1231 9071 BC48","1558676379723518","922.25","-44.5","5.27689391032661"
"E200 9366 C6B6 8171 9071 BE05","1558676379726489","922.25","-59.5","3.92699081698724"
"E200 9366 C6B6 1231 9071 BC48","1558676379749561","922.25","-44.5","5.27075798717506"
"E200 9366 C6B6 8171 9071 BE05","1558676379753270","922.25","-59","4.37491320704985"
"E200 9366 C6B6 8171 9071 BE05","1558676379832418","925.25","-58","5.30143760293278"
"E200 9366 C6B6 1231 9071 BC48","1558676379835093","925.25","-44.5","4.4546802080199"
"E200 9366 C6B6 8171 9071 BE05","1558676379859649","925.25","-57.5","5.82912699396544"
"E200 9366 C6B6 1231 9071 BC48","1558676379862913","925.25","-45","4.44854428486836"
"E200 9366 C6B6 1231 9071 BC48","1558676379921233","925.25","-45","4.46081613117144"
"E200 9366 C6B6 8171 9071 BE05","1558676379923391","925.25","-59.5","0.625864161457342"
"E200 9366 C6B6 1231 9071 BC48","1558676379947676","925.25","-44.5","4.43013651541373"
"E200 9366 C6B6 8171 9071 BE05","1558676379950340","925.25","-59","1.46034971006713"
"E200 9366 C6B6 8171 9071 BE05","1558676380006918","924.75","-58","3.35021404074224"
"E200 9366 C6B6 1231 9071 BC48","1558676380009494","924.75","-44.5","4.62648605626309"
"E200 9366 C6B6 8171 9071 BE05","1558676380032896","924.75","-58.5","4.22765105141283"
"E200 9366 C6B6 1231 9071 BC48","1558676380035215","924.75","-45","4.60807828680847"
"E200 9366 C6B6 1231 9071 BC48","1558676380093065","924.75","-45","4.63875790256618"
"E200 9366 C6B6 8171 9071 BE05","1558676380095763","924.75","-55","0.0245436926061703"
"E200 9366 C6B6 1231 9071 BC48","1558676380119525","924.75","-45","4.56512682474767"
"E200 9366 C6B6 8171 9071 BE05","1558676380122363","924.75","-53","0.460194236365692"
"E200 9366 C6B6 8171 9071 BE05","1558676380176890","924.75","-50.5","1.52170894158256"
"E200 9366 C6B6 1231 9071 BC48","1558676380179427","924.75","-45","4.52217536268687"
"E200 9366 C6B6 1231 9071 BC48","1558676380231158","927.75","-45.5","3.66928204462245"
"E200 9366 C6B6 8171 9071 BE05","1558676380234117","927.75","-48","1.42967009430942"
"E200 9366 C6B6 8171 9071 BE05","1558676380290441","927.75","-46","1.79168956025043"
"E200 9366 C6B6 1231 9071 BC48","1558676380292967","927.75","-45.5","3.71223350668325"
"E200 9366 C6B6 1231 9071 BC48","1558676380317728","927.75","-45.5","3.75518496874405"
"E200 9366 C6B6 8171 9071 BE05","1558676380320376","927.75","-45.5","1.88372840752357"
"E200 9366 C6B6 1231 9071 BC48","1558676380374323","927.75","-46","3.73677719928942"
"E200 9366 C6B6 8171 9071 BE05","1558676380378129","927.75","-44.5","1.9021361769782"
"E200 9366 C6B6 8171 9071 BE05","1558676380429182","923.25","-44.5","2.94524311274043"
"E200 9366 C6B6 1231 9071 BC48","1558676380433057","923.25","-45","5.11122398523496"
"E200 9366 C6B6 1231 9071 BC48","1558676380488235","923.25","-45.5","5.1173599083865"
"E200 9366 C6B6 8171 9071 BE05","1558676380491391","923.25","-44.5","2.79798095710341"
"E200 9366 C6B6 8171 9071 BE05","1558676380516494","923.25","-44.5","2.73048580243644"
