"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1559093406247062","927.25","-46.5","6.16660276730028"
"E200 9366 C6B6 8171 9071 BE05","1559093406257774","927.25","-53","1.66590313564381"
"E200 9366 C6B6 1231 9071 BC48","1559093406287026","927.25","-46.5","6.17273869045182"
"E200 9366 C6B6 8171 9071 BE05","1559093406290920","927.25","-52.5","1.70578663612883"
"E200 9366 C6B6 8171 9071 BE05","1559093406345297","927.25","-52.5","1.65056332776495"
"E200 9366 C6B6 1231 9071 BC48","1559093406347582","927.25","-46.5","0.0674951546669682"
"E200 9366 C6B6 8171 9071 BE05","1559093406370027","927.25","-52.5","1.79782548340197"
"E200 9366 C6B6 1231 9071 BC48","1559093406373447","927.25","-46.5","0.00613592315154256"
"E200 9366 C6B6 8171 9071 BE05","1559093406428713","924.25","-51.5","2.7243498792849"
"E200 9366 C6B6 1231 9071 BC48","1559093406431993","924.25","-46","0.944932165337555"
"E200 9366 C6B6 8171 9071 BE05","1559093406455027","924.25","-52","2.79798095710341"
"E200 9366 C6B6 1231 9071 BC48","1559093406458568","924.25","-46","1.00015547370144"
"E200 9366 C6B6 1231 9071 BC48","1559093406512189","924.25","-46.5","0.938796242186012"
"E200 9366 C6B6 8171 9071 BE05","1559093406515336","924.25","-52","2.69980618667873"
"E200 9366 C6B6 8171 9071 BE05","1559093406537872","924.25","-52.5","2.69367026352719"
"E200 9366 C6B6 1231 9071 BC48","1559093406540818","924.25","-46.5","0.95720401164064"
"E200 9366 C6B6 1231 9071 BC48","1559093406596334","924.25","-45.5","0.963339934792183"
"E200 9366 C6B6 8171 9071 BE05","1559093406598973","924.25","-51.5","2.75502949504261"
"E200 9366 C6B6 8171 9071 BE05","1559093406628486","925.75","-52","2.25801971976766"
"E200 9366 C6B6 1231 9071 BC48","1559093406632036","925.75","-46.5","0.521553467881118"
"E200 9366 C6B6 1231 9071 BC48","1559093406686583","925.75","-46","0.527689391032661"
"E200 9366 C6B6 8171 9071 BE05","1559093406689252","925.75","-53","2.26415564291921"
"E200 9366 C6B6 1231 9071 BC48","1559093406711632","925.75","-46","0.582912699396544"
"E200 9366 C6B6 8171 9071 BE05","1559093406715863","925.75","-52.5","2.20279641140378"
"E200 9366 C6B6 1231 9071 BC48","1559093406770351","925.75","-46","0.552233083638831"
"E200 9366 C6B6 8171 9071 BE05","1559093406773211","925.75","-52.5","2.38073818279852"
"E200 9366 C6B6 1231 9071 BC48","1559093406797597","925.75","-46","0.589048622548086"
"E200 9366 C6B6 8171 9071 BE05","1559093406799991","925.75","-52","2.28869933552538"
"E200 9366 C6B6 8171 9071 BE05","1559093406854647","926.25","-51","2.20893233455532"
"E200 9366 C6B6 1231 9071 BC48","1559093406856984","926.25","-46.5","0.423378697456437"
"E200 9366 C6B6 1231 9071 BC48","1559093406880445","926.25","-46.5","0.509281621578033"
"E200 9366 C6B6 8171 9071 BE05","1559093406883284","926.25","-51.5","2.20893233455532"
"E200 9366 C6B6 1231 9071 BC48","1559093406937903","926.25","-46.5","0.834485548609789"
"E200 9366 C6B6 8171 9071 BE05","1559093406940384","926.25","-52.5","2.47277703007165"
"E200 9366 C6B6 8171 9071 BE05","1559093406963412","926.25","-52.5","2.51572849213245"
"E200 9366 C6B6 1231 9071 BC48","1559093406966415","926.25","-46.5","0.834485548609789"
"E200 9366 C6B6 1231 9071 BC48","1559093407019645","926.25","-46.5","1.16582539879309"
"E200 9366 C6B6 8171 9071 BE05","1559093407023210","926.25","-51.5","2.97592272849814"
"E200 9366 C6B6 1231 9071 BC48","1559093407074069","922.75","-46.5","2.44823333746548"
"E200 9366 C6B6 8171 9071 BE05","1559093407076655","922.75","-51","4.44854428486836"
"E200 9366 C6B6 1231 9071 BC48","1559093407132036","922.75","-46.5","2.73048580243644"
"E200 9366 C6B6 8171 9071 BE05","1559093407134560","922.75","-52","4.65716567202081"
"E200 9366 C6B6 1231 9071 BC48","1559093407157059","922.75","-46.5","2.78570911080032"
"E200 9366 C6B6 8171 9071 BE05","1559093407160032","922.75","-51.5","4.85965113602171"
"E200 9366 C6B6 1231 9071 BC48","1559093407215132","922.75","-47.5","3.11091303783208"
"E200 9366 C6B6 8171 9071 BE05","1559093407217770","922.75","-51.5","5.10508806208341"
"E200 9366 C6B6 8171 9071 BE05","1559093407256733","922.25","-52","5.46710752802443"
"E200 9366 C6B6 1231 9071 BC48","1559093407266132","922.25","-47.5","0.441786466911065"
"E200 9366 C6B6 8171 9071 BE05","1559093407331056","922.25","-52","6.08069984317868"
"E200 9366 C6B6 1231 9071 BC48","1559093407334170","922.25","-47","4.14788405044277"
"E200 9366 C6B6 1231 9071 BC48","1559093407357074","922.25","-47","4.36877728389831"
"E200 9366 C6B6 8171 9071 BE05","1559093407360057","922.25","-52","0.0490873852123405"
"E200 9366 C6B6 1231 9071 BC48","1559093407417170","922.25","-47.5","4.82283559711246"
"E200 9366 C6B6 8171 9071 BE05","1559093407419689","922.25","-51.5","0.558369006790373"
"E200 9366 C6B6 8171 9071 BE05","1559093407444373","922.25","-52","0.754718547639735"
"E200 9366 C6B6 1231 9071 BC48","1559093407457112","925.25","-48","4.28287435977671"
"E200 9366 C6B6 1231 9071 BC48","1559093407511089","925.25","-48.5","4.70625305723315"
"E200 9366 C6B6 8171 9071 BE05","1559093407514680","925.25","-50.5","0.0552233083638831"
"E200 9366 C6B6 1231 9071 BC48","1559093407539087","925.25","-48","4.90873852123405"
"E200 9366 C6B6 8171 9071 BE05","1559093407541595","925.25","-50.5","0.404970928001809"
"E200 9366 C6B6 1231 9071 BC48","1559093407597065","925.25","-48","5.32598129553895"
"E200 9366 C6B6 8171 9071 BE05","1559093407599595","925.25","-50","0.834485548609789"
"E200 9366 C6B6 8171 9071 BE05","1559093407622358","925.25","-50.5","1.04924285891378"
"E200 9366 C6B6 1231 9071 BC48","1559093407625548","925.25","-48","5.52233083638831"
"E200 9366 C6B6 1231 9071 BC48","1559093407679711","924.75","-48.5","6.09910761263331"
"E200 9366 C6B6 8171 9071 BE05","1559093407683068","924.75","-50","1.66897109721958"
"E200 9366 C6B6 1231 9071 BC48","1559093407707411","924.75","-49","6.25864161457342"
"E200 9366 C6B6 8171 9071 BE05","1559093407710343","924.75","-50","1.79782548340197"
"E200 9366 C6B6 1231 9071 BC48","1559093407764765","924.75","-48.5","0.435650543759522"
"E200 9366 C6B6 8171 9071 BE05","1559093407768257","924.75","-50","2.13530125673681"
"E200 9366 C6B6 1231 9071 BC48","1559093407792058","924.75","-49","0.515417544729575"
"E200 9366 C6B6 8171 9071 BE05","1559093407794732","924.75","-50.5","2.38073818279852"
"E200 9366 C6B6 8171 9071 BE05","1559093407847991","924.75","-51","2.71207803298181"
"E200 9366 C6B6 1231 9071 BC48","1559093407851299","924.75","-49","0.920388472731385"
"E200 9366 C6B6 8171 9071 BE05","1559093407885569","927.75","-52.5","1.85304879176585"
"E200 9366 C6B6 1231 9071 BC48","1559093407888120","927.75","-49.5","0.527689391032661"
"E200 9366 C6B6 1231 9071 BC48","1559093407942976","927.75","-49","0.938796242186012"
"E200 9366 C6B6 8171 9071 BE05","1559093407945902","927.75","-53","2.49732072267782"
"E200 9366 C6B6 8171 9071 BE05","1559093407969679","927.75","-52.5","2.78570911080032"
"E200 9366 C6B6 1231 9071 BC48","1559093407972223","927.75","-49.5","1.2824079386724"
"E200 9366 C6B6 1231 9071 BC48","1559093408025500","927.75","-49.5","1.79168956025043"
"E200 9366 C6B6 8171 9071 BE05","1559093408029366","927.75","-54","3.58337912050086"
"E200 9366 C6B6 1231 9071 BC48","1559093408052409","927.75","-50","2.04939833261522"
"E200 9366 C6B6 8171 9071 BE05","1559093408055288","927.75","-53","3.71836942983479"
"E200 9366 C6B6 1231 9071 BC48","1559093408115540","923.25","-51","3.97607820219958"
"E200 9366 C6B6 8171 9071 BE05","1559093408119251","923.25","-52.5","5.84753476342006"
"E200 9366 C6B6 1231 9071 BC48","1559093408142591","923.25","-51","4.10493258838198"
"E200 9366 C6B6 8171 9071 BE05","1559093408145740","923.25","-52.5","6.03774838111788"
"E200 9366 C6B6 1231 9071 BC48","1559093408200681","923.25","-50.5","4.71852490353623"
"E200 9366 C6B6 8171 9071 BE05","1559093408203942","923.25","-52","0.362019465941011"
"E200 9366 C6B6 1231 9071 BC48","1559093408227203","923.25","-51","5.08054436947724"
"E200 9366 C6B6 8171 9071 BE05","1559093408230192","923.25","-51.5","0.589048622548086"
"E200 9366 C6B6 8171 9071 BE05","1559093408293384","926.75","-50","0.294524311274043"
"E200 9366 C6B6 1231 9071 BC48","1559093408295694","926.75","-50","4.53444720898996"
"E200 9366 C6B6 1231 9071 BC48","1559093408319370","926.75","-50.5","4.828971520264"
"E200 9366 C6B6 8171 9071 BE05","1559093408322175","926.75","-50.5","0.674951546669682"
"E200 9366 C6B6 1231 9071 BC48","1559093408376547","926.75","-49.5","5.32598129553895"
"E200 9366 C6B6 8171 9071 BE05","1559093408379849","926.75","-49","1.17196132194463"
"E200 9366 C6B6 1231 9071 BC48","1559093408403927","926.75","-49.5","5.51005899008522"
"E200 9366 C6B6 8171 9071 BE05","1559093408406462","926.75","-49","1.34376717018782"
"E200 9366 C6B6 8171 9071 BE05","1559093408461967","926.75","-48.5","1.73646625188655"
"E200 9366 C6B6 1231 9071 BC48","1559093408464400","926.75","-49","5.87207845602623"
"E200 9366 C6B6 8171 9071 BE05","1559093408510339","923.75","-48","2.89615572752809"
"E200 9366 C6B6 1231 9071 BC48","1559093408512929","923.75","-48.5","0.938796242186012"
"E200 9366 C6B6 1231 9071 BC48","1559093408566902","923.75","-48","1.31308755443011"
"E200 9366 C6B6 8171 9071 BE05","1559093408569406","923.75","-48","3.22135965455985"
"E200 9366 C6B6 8171 9071 BE05","1559093408594725","923.75","-47.5","3.39930142595458"
"E200 9366 C6B6 1231 9071 BC48","1559093408597562","923.75","-48","1.55238855734027"
"E200 9366 C6B6 8171 9071 BE05","1559093408653812","923.75","-47.5","3.79813643080485"
"E200 9366 C6B6 1231 9071 BC48","1559093408656464","923.75","-47.5","2.15984494934298"
"E200 9366 C6B6 1231 9071 BC48","1559093408689542","927.25","-49","1.49716524897639"
"E200 9366 C6B6 8171 9071 BE05","1559093408691942","927.25","-47.5","2.87774795807346"
"E200 9366 C6B6 1231 9071 BC48","1559093408762050","927.25","-49","5.28302983347815"
"E200 9366 C6B6 8171 9071 BE05","1559093408794069","927.25","-48.5","3.38089365649995"
"E200 9366 C6B6 1231 9071 BC48","1559093408821520","927.25","-49","2.6384469551633"
"E200 9366 C6B6 8171 9071 BE05","1559093408824842","927.25","-47.5","3.33794219443916"
"E200 9366 C6B6 8171 9071 BE05","1559093408892464","924.25","-48","4.64489382571772"
"E200 9366 C6B6 1231 9071 BC48","1559093408895318","924.25","-49","3.69382573722862"
"E200 9366 C6B6 1231 9071 BC48","1559093408919500","924.25","-49","3.82881604656256"
"E200 9366 C6B6 8171 9071 BE05","1559093408922530","924.25","-48","4.72466082668778"
"E200 9366 C6B6 1231 9071 BC48","1559093408978114","924.25","-48.5","4.17856366620049"
"E200 9366 C6B6 8171 9071 BE05","1559093408980415","924.25","-47.5","4.92714629068868"
"E200 9366 C6B6 8171 9071 BE05","1559093409005011","924.25","-47.5","4.9885055222041"
"E200 9366 C6B6 1231 9071 BC48","1559093409007542","924.25","-48.5","4.24605882086745"
"E200 9366 C6B6 8171 9071 BE05","1559093409062325","924.25","-47.5","5.13576767784113"
"E200 9366 C6B6 1231 9071 BC48","1559093409064745","924.25","-49","4.32582582183751"
"E200 9366 C6B6 1231 9071 BC48","1559093409095389","925.75","-48.5","4.01902966426038"
