"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981660720","926.75","-50","5.25848614087198"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981676090","926.75","-47.5","0.042951462060798"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981707650","926.75","-49.5","2.14143717988836"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981711374","926.75","-47.5","0.0490873852123405"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981765804","926.75","-49.5","2.09234979467601"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981768472","926.75","-47.5","0.042951462060798"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981792113","926.75","-47.5","0.0306796157577128"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981795008","926.75","-50.5","2.11689348728219"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981867709","923.75","-49","3.0127382674074"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981874963","923.75","-47","0.766990393942821"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981905206","923.75","-47","0.797670009700533"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981908367","923.75","-50","3.22135965455985"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981963086","923.75","-47","0.791534086548991"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981966480","923.75","-49","3.11704896098362"
"E200 9366 C6B6 7A31 9071 BDE8","1559191981991269","923.75","-49.5","3.19068003880213"
"E200 9366 C6B6 79F1 9071 BDE7","1559191981993763","923.75","-47","0.766990393942821"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982049285","923.75","-46.5","0.834485548609789"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982051909","923.75","-50","3.25203927031756"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982093881","927.25","-48","6.24023384511879"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982097477","927.25","-50","2.11689348728219"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982153107","927.25","-50.5","2.34392264388926"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982155599","927.25","-47.5","0.098174770424681"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982180932","927.25","-47.5","0.0368155389092554"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982183175","927.25","-50","2.19666048825224"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982239260","927.25","-50","2.22734010400995"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982242007","927.25","-48","0.147262155637022"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982269037","924.25","-47.5","0.834485548609789"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982277382","924.25","-48.5","3.17840819249905"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982338316","924.25","-50.5","3.29499073237836"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982340901","924.25","-47","0.895844780125214"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982366767","924.25","-49.5","3.48520435007618"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982369382","924.25","-46.5","0.889708856973672"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982410587","924.25","-46.5","0.93266031903447"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982413929","924.25","-50.5","3.63860242886474"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982438567","924.25","-50","3.56497135104623"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982440991","924.25","-46.5","0.987883627398353"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982522685","925.75","-50.5","3.65701019831937"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982525820","925.75","-47","0.766990393942821"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982552874","925.75","-50","3.81040827710793"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982555417","925.75","-47.5","0.883572933822129"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982610571","925.75","-50","3.94539858644187"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982612826","925.75","-46.5","1.01242732000452"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982638065","925.75","-49","4.14788405044277"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982640581","925.75","-46.5","1.09219432097458"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982721176","926.25","-48.5","4.35036951444368"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982723545","926.25","-46.5","1.10446616727766"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982734676","926.25","-46.5","1.07378655151995"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982737069","926.25","-49.5","4.53444720898996"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982793465","926.25","-46","1.25172832291468"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982796901","926.25","-48.5","4.81669967396091"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982821253","926.25","-48.5","4.89646667493097"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982823978","926.25","-46","1.34376717018782"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982877998","922.75","-45","2.25801971976766"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982882231","922.75","-49.5","0.0552233083638831"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982906632","922.75","-49.5","6.27704938402804"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982908767","922.75","-45","2.37460225964697"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982963298","922.75","-45","2.42982556801086"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982966537","922.75","-48.5","0.233165079758617"
"E200 9366 C6B6 79F1 9071 BDE7","1559191982991185","922.75","-45","2.48504887637474"
"E200 9366 C6B6 7A31 9071 BDE8","1559191982993549","922.75","-48","0.355883542789469"
"E200 9366 C6B6 79F1 9071 BDE7","1559191983050950","922.75","-44.5","2.60776733940559"
