"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1558924492063198","926.75","-56.5","2.07700998679716"
"E200 9366 C6B6 8171 9071 BE05","1558924492074705","926.75","-60.5","5.79844737820772"
"E200 9366 C6B6 8171 9071 BE05","1558924492106373","926.75","-60.5","5.87207845602623"
"E200 9366 C6B6 1231 9071 BC48","1558924492109219","926.75","-56","2.58322364679942"
"E200 9366 C6B6 1231 9071 BC48","1558924492161856","926.75","-55.5","2.28256341237383"
"E200 9366 C6B6 8171 9071 BE05","1558924492186885","926.75","-61.5","5.54687452899448"
"E200 9366 C6B6 1231 9071 BC48","1558924492212965","926.75","-55","2.67526249407256"
"E200 9366 C6B6 8171 9071 BE05","1558924492227911","926.75","-61.5","5.79231145505618"
"E200 9366 C6B6 1231 9071 BC48","1558924492315936","923.75","-53.5","3.92699081698724"
"E200 9366 C6B6 8171 9071 BE05","1558924492333101","923.75","-60.5","0.0306796157577128"
"E200 9366 C6B6 1231 9071 BC48","1558924492368104","923.75","-54.5","4.2092432819582"
"E200 9366 C6B6 8171 9071 BE05","1558924492386742","923.75","-60.5","6.19114645990645"
"E200 9366 C6B6 1231 9071 BC48","1558924492463343","927.25","-56","3.38089365649995"
"E200 9366 C6B6 8171 9071 BE05","1558924492482581","927.25","-62","5.15417544729575"
"E200 9366 C6B6 1231 9071 BC48","1558924492516274","927.25","-56.5","3.55269950474315"
"E200 9366 C6B6 8171 9071 BE05","1558924492534697","927.25","-62.5","5.3198453723874"
"E200 9366 C6B6 1231 9071 BC48","1558924492599972","927.25","-58","2.97592272849814"
"E200 9366 C6B6 8171 9071 BE05","1558924492617718","927.25","-62","5.3627968344482"
"E200 9366 C6B6 1231 9071 BC48","1558924492665916","924.25","-56.5","3.89631120122953"
"E200 9366 C6B6 8171 9071 BE05","1558924492694059","924.25","-60","0.368155389092554"
"E200 9366 C6B6 1231 9071 BC48","1558924492762725","924.25","-56","4.04357335686655"
"E200 9366 C6B6 8171 9071 BE05","1558924492765431","924.25","-58.5","0.128854386182394"
"E200 9366 C6B6 8171 9071 BE05","1558924492787296","924.25","-58.5","0.484737928971863"
"E200 9366 C6B6 1231 9071 BC48","1558924492789867","924.25","-55","4.08652481892735"
"E200 9366 C6B6 1231 9071 BC48","1558924492843378","924.25","-53.5","4.15401997359432"
"E200 9366 C6B6 8171 9071 BE05","1558924492892561","925.75","-60","0.0920388472731385"
"E200 9366 C6B6 1231 9071 BC48","1558924492916474","925.75","-54","3.41157327225767"
"E200 9366 C6B6 8171 9071 BE05","1558924492919044","925.75","-58","0.362019465941011"
"E200 9366 C6B6 8171 9071 BE05","1558924492972461","925.75","-57","0.632000084608884"
"E200 9366 C6B6 1231 9071 BC48","1558924492975010","925.75","-55","2.77957318764878"
"E200 9366 C6B6 8171 9071 BE05","1558924492998263","925.75","-58.5","0.754718547639735"
"E200 9366 C6B6 1231 9071 BC48","1558924493010764","925.75","-56.5","5.6941366846315"
"E200 9366 C6B6 8171 9071 BE05","1558924493081770","925.75","-57.5","1.34990309333936"
"E200 9366 C6B6 1231 9071 BC48","1558924493110732","926.25","-58.5","1.17196132194463"
"E200 9366 C6B6 1231 9071 BC48","1558924493151428","926.25","-58","0.484737928971863"
"E200 9366 C6B6 8171 9071 BE05","1558924493174164","926.25","-62.5","1.56466040364335"
"E200 9366 C6B6 1231 9071 BC48","1558924493234835","926.25","-56.5","5.1603113704473"
"E200 9366 C6B6 8171 9071 BE05","1558924493251335","926.25","-63.5","6.0254765348148"
"E200 9366 C6B6 1231 9071 BC48","1558924493300900","922.75","-58.5","5.52539879796408"
"E200 9366 C6B6 8171 9071 BE05","1558924493330386","922.75","-63","4.7430685961424"
"E200 9366 C6B6 8171 9071 BE05","1558924493421842","922.75","-59.5","0.276116541819415"
"E200 9366 C6B6 1231 9071 BC48","1558924493452121","922.75","-63","2.15370902619144"
"E200 9366 C6B6 8171 9071 BE05","1558924493480291","922.75","-56.5","0.699495239275852"
"E200 9366 C6B6 1231 9071 BC48","1558924493526541","922.25","-62.5","5.66959299202533"
"E200 9366 C6B6 8171 9071 BE05","1558924493597867","922.25","-53.5","1.07378655151995"
"E200 9366 C6B6 1231 9071 BC48","1558924493613098","922.25","-62.5","3.12932080728671"
"E200 9366 C6B6 8171 9071 BE05","1558924493648396","922.25","-53","0.938796242186012"
"E200 9366 C6B6 1231 9071 BC48","1558924493670769","922.25","-62.5","0.619728238305799"
"E200 9366 C6B6 8171 9071 BE05","1558924493728643","925.25","-53","0.269980618667873"
"E200 9366 C6B6 1231 9071 BC48","1558924493734421","925.25","-59.5","4.01289374110884"
"E200 9366 C6B6 8171 9071 BE05","1558924493760004","925.25","-53","0.0797670009700533"
"E200 9366 C6B6 8171 9071 BE05","1558924493811614","925.25","-53","0.0490873852123405"
"E200 9366 C6B6 1231 9071 BC48","1558924493826592","925.25","-64","5.57755414475219"
"E200 9366 C6B6 8171 9071 BE05","1558924493862672","925.25","-53.5","0.23930100291016"
"E200 9366 C6B6 1231 9071 BC48","1558924493865368","925.25","-59","3.58337912050086"
"E200 9366 C6B6 8171 9071 BE05","1558924493919065","924.75","-53.5","0.50314569842649"
"E200 9366 C6B6 1231 9071 BC48","1558924493937062","924.75","-60","1.8591847149174"
"E200 9366 C6B6 8171 9071 BE05","1558924493970411","924.75","-54","0.128854386182394"
"E200 9366 C6B6 1231 9071 BC48","1558924493995266","924.75","-63.5","0.50314569842649"
"E200 9366 C6B6 8171 9071 BE05","1558924494053388","924.75","-54.5","6.2279619988157"
"E200 9366 C6B6 8171 9071 BE05","1558924494075315","924.75","-54","0.0122718463030851"
"E200 9366 C6B6 8171 9071 BE05","1558924494130799","927.75","-55","5.63277745311607"
"E200 9366 C6B6 1231 9071 BC48","1558924494152023","927.75","-65","5.39347645020591"
"E200 9366 C6B6 8171 9071 BE05","1558924494180723","927.75","-55.5","5.24621429456889"
"E200 9366 C6B6 1231 9071 BC48","1558924494196248","927.75","-64.5","4.65102974886926"
"E200 9366 C6B6 8171 9071 BE05","1558924494260693","927.75","-54.5","5.54073860584294"
"E200 9366 C6B6 1231 9071 BC48","1558924494278916","927.75","-64.5","0.362019465941011"
"E200 9366 C6B6 8171 9071 BE05","1558924494311421","927.75","-54","5.60209783735836"
