"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1559177276823276","927.25","-43.5","4.47922390062607"
"E200 9366 C6B6 8171 9071 BE05","1559177276834880","927.25","-45","0.233165079758617"
"E200 9366 C6B6 1231 9071 BC48","1559177276865924","927.25","-43.5","4.52831128583841"
"E200 9366 C6B6 8171 9071 BE05","1559177276869224","927.25","-44.5","3.40543734910612"
"E200 9366 C6B6 8171 9071 BE05","1559177276923584","927.25","-44.5","3.38089365649995"
"E200 9366 C6B6 1231 9071 BC48","1559177276926263","927.25","-43.5","4.52217536268687"
"E200 9366 C6B6 1231 9071 BC48","1559177276948526","927.25","-43","4.5405831321415"
"E200 9366 C6B6 8171 9071 BE05","1559177276951321","927.25","-45","3.41770919540921"
"E200 9366 C6B6 1231 9071 BC48","1559177277017176","924.25","-42.5","5.33211721869049"
"E200 9366 C6B6 8171 9071 BE05","1559177277019702","924.25","-44","4.26446659032208"
"E200 9366 C6B6 1231 9071 BC48","1559177277045489","924.25","-43","5.27689391032661"
"E200 9366 C6B6 8171 9071 BE05","1559177277047854","924.25","-43.5","4.27673843662517"
"E200 9366 C6B6 1231 9071 BC48","1559177277103447","924.25","-43","5.28916575662969"
"E200 9366 C6B6 8171 9071 BE05","1559177277106190","924.25","-43.5","4.25833066717054"
"E200 9366 C6B6 8171 9071 BE05","1559177277129992","924.25","-43.5","4.31968989868597"
"E200 9366 C6B6 1231 9071 BC48","1559177277132476","924.25","-42.5","5.28916575662969"
"E200 9366 C6B6 1231 9071 BC48","1559177277186251","924.25","-43","5.29530167978123"
"E200 9366 C6B6 8171 9071 BE05","1559177277188799","924.25","-44","4.23992289771591"
"E200 9366 C6B6 8171 9071 BE05","1559177277219994","925.75","-44.5","3.8349519697141"
"E200 9366 C6B6 1231 9071 BC48","1559177277223977","925.75","-43","4.91487444438559"
"E200 9366 C6B6 8171 9071 BE05","1559177277276712","925.75","-44.5","3.87176750862336"
"E200 9366 C6B6 1231 9071 BC48","1559177277280762","925.75","-42.5","4.91487444438559"
