"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596313634","926.25","-52","5.27075798717506"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596326591","926.25","-55","1.56159244206758"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596357939","926.25","-55","1.74260217503809"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596360859","926.25","-51.5","2.03099056316059"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596404154","926.25","-55.5","1.57693224994644"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596407108","926.25","-52","2.12302941043373"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596435036","926.25","-52","2.04326240946367"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596478508","926.25","-54.5","1.69965071297729"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596481510","926.25","-52","2.33778672073772"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596528551","922.75","-51.5","3.48520435007618"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596531892","922.75","-54.5","2.76116541819415"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596585969","922.75","-53.5","2.77957318764878"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596590175","922.75","-52","3.30726257868144"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596615265","922.75","-51.5","3.52815581213697"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596617772","922.75","-53.5","2.71821395613336"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596681544","922.75","-51.5","3.35021404074224"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596683921","922.75","-54.5","3.01887419055894"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596732411","922.25","-52","3.52201988898543"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596735411","922.25","-54","2.95751495904352"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596790189","922.25","-52.5","3.31339850183298"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596792595","922.25","-54","3.06796157577128"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596816719","922.25","-52.5","3.2581751934691"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596819745","922.25","-54","2.90842757383118"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596874482","922.25","-52.5","3.46066065747001"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596877403","922.25","-54","2.82252464970958"
"E200 9366 C6B6 79F1 9071 BDE7","1559191596917921","925.25","-51.5","2.27029156607075"
"E200 9366 C6B6 7A31 9071 BDE8","1559191596951139","925.25","-55","5.19099098620501"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597012784","925.25","-52","2.32551487443463"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597015321","925.25","-55","1.89600025382665"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597037924","925.25","-55","2.03712648631213"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597040760","925.25","-52","2.36233041334389"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597111674","924.75","-52","2.74889357189107"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597140770","924.75","-55.5","5.29530167978123"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597175275","924.75","-52","2.69980618667873"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597191726","924.75","-55.5","5.26462206402352"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597266701","924.75","-52.5","2.63231103201176"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597269835","924.75","-54.5","1.95122356219054"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597294369","924.75","-55","2.03099056316059"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597313696","927.75","-51","1.88372840752357"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597374795","927.75","-52","1.60761186570415"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597392015","927.75","-55.5","4.38104913020139"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597426150","927.75","-51.5","1.76714586764426"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597431674","927.75","-54","1.42967009430942"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597511113","923.25","-51.5","2.96365088219506"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597537348","923.25","-55","5.64504929941916"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597577098","923.25","-52.5","3.22749557771139"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597579789","923.25","-54.5","2.58935956995096"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597634311","923.25","-52.5","3.11091303783208"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597656323","923.25","-55","5.74322406984384"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597687160","923.25","-52.5","3.10477711468054"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597747668","926.75","-55.5","4.62035013311155"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597823091","926.75","-52.5","2.11075756413064"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597826197","926.75","-53.5","1.54011671103718"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597853421","926.75","-52","2.22734010400995"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597856362","926.75","-55","1.38058270909708"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597912579","926.75","-52.5","1.97576725479671"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597915475","926.75","-54.5","1.50330117212793"
"E200 9366 C6B6 7A31 9071 BDE8","1559191597960602","923.75","-55","2.23347602716149"
"E200 9366 C6B6 79F1 9071 BDE7","1559191597963239","923.75","-53","2.88388388122501"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598017718","923.75","-52.5","3.03728196001357"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598020527","923.75","-54.5","2.14143717988836"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598045228","923.75","-53","3.03114603686203"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598047844","923.75","-55","2.34392264388926"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598102386","923.75","-54.5","2.4359614911624"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598105150","923.75","-52","2.84093241916421"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598148759","927.25","-51","2.40528187540469"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598166488","927.25","-55.5","4.4117287459591"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598241725","927.25","-53","1.89600025382665"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598261063","927.25","-55.5","4.46081613117144"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598298022","927.25","-54.5","1.28854386182394"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598300524","927.25","-52","1.9021361769782"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598357705","924.25","-54.5","2.18438864194915"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598360591","924.25","-51.5","2.69367026352719"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598385710","924.25","-51.5","2.88388388122501"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598388145","924.25","-54","2.42982556801086"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598443158","924.25","-52.5","2.94524311274043"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598446234","924.25","-55","2.09848571782756"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598470118","924.25","-55","2.06780610206984"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598472411","924.25","-52","2.86547611177038"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598529681","924.25","-55.5","2.11075756413064"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598532079","924.25","-52","2.68753434037564"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598583827","925.75","-52","2.20893233455532"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598587123","925.75","-55.5","2.23961195031304"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598640731","925.75","-52","2.70594210983027"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598643477","925.75","-54.5","2.17825271879761"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598667347","925.75","-51.5","2.32551487443463"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598671018","925.75","-54","1.93895171588745"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598733240","925.75","-52.5","2.14143717988836"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598810538","926.25","-52","2.32551487443463"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598831107","926.25","-55.5","4.86578705917325"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598898030","926.25","-54","1.58920409624952"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598900877","926.25","-52","2.17211679564607"
"E200 9366 C6B6 79F1 9071 BDE7","1559191598925953","926.25","-53.5","2.03712648631213"
"E200 9366 C6B6 7A31 9071 BDE8","1559191598928650","926.25","-54","1.88372840752357"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599000475","922.75","-51.5","3.23976742401447"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599029294","922.75","-55.5","5.95798138014783"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599070884","922.75","-54","2.55867995419325"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599074685","922.75","-52.5","3.52201988898543"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599131760","922.75","-52","3.33180627128761"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599154467","922.75","-53.5","2.84706834231575"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599158319","922.75","-52.5","3.3011266555299"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599213337","922.25","-52","3.82881604656256"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599216045","922.25","-54","3.02501011371048"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599242398","922.25","-51.5","3.40543734910612"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599245063","922.25","-55","2.88388388122501"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599300766","922.25","-52","3.41157327225767"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599306991","922.25","-54","2.93297126643735"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599332790","922.25","-54.5","2.88388388122501"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599335688","922.25","-52.5","3.48520435007618"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599390827","922.25","-52.5","3.16000042304442"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599394299","922.25","-52.5","3.35021404074224"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599437349","925.25","-51.5","2.56481587734479"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599439846","925.25","-55.5","1.88986433067511"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599497024","925.25","-52","2.63231103201176"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599500306","925.25","-55.5","1.7732817907958"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599525641","925.25","-52.5","2.58322364679942"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599547258","925.25","-55.5","5.03759290741645"
"E200 9366 C6B6 79F1 9071 BDE7","1559191599626552","924.75","-51.5","2.44823333746548"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599651588","924.75","-55.5","5.21553467881118"
"E200 9366 C6B6 7A31 9071 BDE8","1559191599701149","924.75","-55.5","5.20939875565964"
