"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1558076260127130","926.75","-56.5","5.15110748571998"
"E200 9366 C6B6 8171 9071 BE05","1558076260136693","926.75","-49.5","1.26706813079354"
"E200 9366 C6B6 8171 9071 BE05","1558076260169451","926.75","-50","1.38058270909708"
"E200 9366 C6B6 1231 9071 BC48","1558076260172116","926.75","-57","4.70625305723315"
"E200 9366 C6B6 8171 9071 BE05","1558076260227246","926.75","-49.5","1.15968947564154"
"E200 9366 C6B6 1231 9071 BC48","1558076260230472","926.75","-55","5.14190360099267"
"E200 9027 6413 0145 2420 1C6E","1558076260234902","926.75","-67","2.4359614911624"
"E200 9366 C6B6 8171 9071 BE05","1558076260245609","926.75","-49.5","1.41126232485479"
"E200 9366 C6B6 1231 9071 BC48","1558076260250892","926.75","-57.5","5.12963175468958"
"E200 9027 6413 0145 2420 1C6E","1558076260256382","926.75","-67","2.36846633649543"
"E200 9366 C6B6 8171 9071 BE05","1558076260300325","926.75","-49.5","1.38058270909708"
"E200 9366 C6B6 1231 9071 BC48","1558076260317007","924.75","-55","5.4701754896002"
"E200 9366 C6B6 1231 9071 BC48","1558076260347300","924.75","-54","5.66959299202533"
"E200 9366 C6B6 8171 9071 BE05","1558076260349828","924.75","-49.5","1.82850509915968"
"E200 9366 C6B6 8171 9071 BE05","1558076260392422","924.75","-49","2.0616701789183"
"E200 9366 C6B6 1231 9071 BC48","1558076260395009","924.75","-54","5.55301045214602"
"E200 9027 6413 0145 2420 1C6E","1558076260400340","924.75","-65.5","3.71223350668325"
"E200 9366 C6B6 8171 9071 BE05","1558076260411758","924.75","-49.5","2.11689348728219"
"E200 9366 C6B6 1231 9071 BC48","1558076260414192","924.75","-54.5","5.55914637529756"
"E200 9027 6413 0145 2420 1C6E","1558076260418367","924.75","-65.5","0.50314569842649"
"E200 9366 C6B6 1231 9071 BC48","1558076260462729","924.75","-54.5","5.405748296509"
"E200 9366 C6B6 8171 9071 BE05","1558076260465129","924.75","-48.5","2.22734010400995"
"E200 9027 6413 0145 2420 1C6E","1558076260469563","924.75","-65.5","0.595184545699629"
"E200 9366 C6B6 8171 9071 BE05","1558076260479942","924.75","-48.5","2.09848571782756"
"E200 9366 C6B6 1231 9071 BC48","1558076260482602","924.75","-55","4.90260259808251"
"E200 9027 6413 0145 2420 1C6E","1558076260487949","924.75","-66","3.72450535298634"
"E200 9366 C6B6 1231 9071 BC48","1558076260531498","922.25","-53.5","6.09910761263331"
"E200 9366 C6B6 8171 9071 BE05","1558076260534299","922.25","-49","2.62617510886022"
"E200 9027 6413 0145 2420 1C6E","1558076260539097","922.25","-64.5","5.30757352608432"
"E200 9366 C6B6 8171 9071 BE05","1558076260550590","922.25","-48.5","2.77343726449724"
"E200 9027 6413 0145 2420 1C6E","1558076260556645","922.25","-64.5","5.29530167978123"
"E200 9366 C6B6 1231 9071 BC48","1558076260562343","922.25","-55.5","6.00706876536017"
"E200 9366 C6B6 8171 9071 BE05","1558076260602702","922.25","-49","2.76116541819415"
"E200 9027 6413 0145 2420 1C6E","1558076260609997","922.25","-64.5","5.29530167978123"
"E200 9366 C6B6 1231 9071 BC48","1558076260616044","922.25","-56","5.92116584123858"
"E200 9366 C6B6 8171 9071 BE05","1558076260626288","922.25","-48.5","2.54027218473862"
"E200 9027 6413 0145 2420 1C6E","1558076260645906","922.25","-62","5.31370944923586"
"E200 9366 C6B6 1231 9071 BC48","1558076260678459","922.25","-56","6.03161245796634"
"E200 9366 C6B6 8171 9071 BE05","1558076260737412","926.25","-49.5","1.36217493964245"
"E200 9366 C6B6 1231 9071 BC48","1558076260740791","926.25","-57.5","5.08668029262879"
"E200 9027 6413 0145 2420 1C6E","1558076260746516","926.25","-66.5","2.69980618667873"
"E200 9366 C6B6 1231 9071 BC48","1558076260756421","926.25","-58","5.2032628325081"
"E200 9366 C6B6 8171 9071 BE05","1558076260759365","926.25","-49.5","1.30695163127857"
"E200 9027 6413 0145 2420 1C6E","1558076260789526","926.25","-63.5","5.88435030232932"
"E200 9366 C6B6 8171 9071 BE05","1558076260852022","926.25","-49","1.51557301843101"
"E200 9366 C6B6 1231 9071 BC48","1558076260854681","926.25","-57","5.0744084463257"
"E200 9027 6413 0145 2420 1C6E","1558076260859395","926.25","-66.5","5.8966221486324"
"E200 9366 C6B6 1231 9071 BC48","1558076260870227","926.25","-57.5","5.15417544729575"
"E200 9366 C6B6 8171 9071 BE05","1558076260874652","926.25","-49","1.28854386182394"
"E200 9027 6413 0145 2420 1C6E","1558076260879618","926.25","-66.5","5.76776776245001"
"E200 9366 C6B6 8171 9071 BE05","1558076260938530","927.75","-48.5","1.30695163127857"
"E200 9366 C6B6 1231 9071 BC48","1558076260969195","927.75","-60.5","4.92101036753714"
"E200 9366 C6B6 8171 9071 BE05","1558076261005706","927.75","-48.5","1.10446616727766"
"E200 9366 C6B6 1231 9071 BC48","1558076261020376","927.75","-60","4.96396182959793"
"E200 9366 C6B6 8171 9071 BE05","1558076261087407","927.75","-48.5","1.08605839782303"
"E200 9366 C6B6 1231 9071 BC48","1558076261099804","927.75","-61.5","4.89646667493097"
"E200 9027 6413 0145 2420 1C6E","1558076261223874","924.25","-63","3.95153450959341"
"E200 9366 C6B6 1231 9071 BC48","1558076261246931","924.25","-53.5","3.64473835201628"
"E200 9366 C6B6 8171 9071 BE05","1558076261250617","924.25","-50","1.5707963267949"
"E200 9366 C6B6 8171 9071 BE05","1558076261305060","924.25","-50","0.98174770424681"
"E200 9366 C6B6 1231 9071 BC48","1558076261307967","924.25","-52","2.12916533358527"
"E200 9027 6413 0145 2420 1C6E","1558076261312944","924.25","-65","3.90858304753261"
"E200 9366 C6B6 8171 9071 BE05","1558076261325895","924.25","-51.5","0.490873852123405"
"E200 9366 C6B6 1231 9071 BC48","1558076261341855","925.75","-52","0.671883585093911"
"E200 9366 C6B6 1231 9071 BC48","1558076261423420","925.75","-51","4.11106851153352"
"E200 9366 C6B6 8171 9071 BE05","1558076261440785","925.75","-57","0.926524395882927"
"E200 9366 C6B6 1231 9071 BC48","1558076261486010","925.75","-51.5","2.93297126643735"
"E200 9366 C6B6 8171 9071 BE05","1558076261488637","925.75","-57.5","2.66912657092102"
"E200 9027 6413 0145 2420 1C6E","1558076261492499","925.75","-66","2.97592272849814"
"E200 9366 C6B6 1231 9071 BC48","1558076261543145","925.25","-53","1.79782548340197"
"E200 9366 C6B6 8171 9071 BE05","1558076261547940","925.25","-59.5","4.30128212923134"
"E200 9027 6413 0145 2420 1C6E","1558076261553865","925.25","-66","3.29499073237836"
"E200 9027 6413 0145 2420 1C6E","1558076261568158","925.25","-66","0.208621387152447"
