"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 8171 9071 BE05","1558076126360833","923.25","-44.5","5.96411730329937"
"E200 9366 C6B6 1231 9071 BC48","1558076126393708","923.25","-58.5","1.28854386182394"
"E200 9366 C6B6 8171 9071 BE05","1558076126433621","923.25","-44","5.97638914960246"
"E200 9027 6413 0145 2420 1C6E","1558076126437669","923.25","-63.5","4.56512682474767"
"E200 9366 C6B6 1231 9071 BC48","1558076126443086","923.25","-60.5","4.43013651541373"
"E200 9366 C6B6 8171 9071 BE05","1558076126484910","923.25","-44.5","6.01934061166326"
"E200 9027 6413 0145 2420 1C6E","1558076126490180","923.25","-63.5","4.54671905529304"
"E200 9366 C6B6 1231 9071 BC48","1558076126495600","923.25","-60.5","4.52217536268687"
"E200 9366 C6B6 8171 9071 BE05","1558076126505882","923.25","-44.5","5.92730176439012"
"E200 9027 6413 0145 2420 1C6E","1558076126511909","923.25","-63.5","4.59580644050538"
"E200 9366 C6B6 1231 9071 BC48","1558076126517862","923.25","-61","4.53444720898996"
"E200 9366 C6B6 8171 9071 BE05","1558076126560413","922.75","-45","6.0254765348148"
"E200 9027 6413 0145 2420 1C6E","1558076126564503","922.75","-63.5","4.89033075177942"
"E200 9366 C6B6 1231 9071 BC48","1558076126570498","922.75","-61","4.7001171340816"
"E200 9366 C6B6 8171 9071 BE05","1558076126582327","922.75","-44.5","6.24636976827033"
"E200 9027 6413 0145 2420 1C6E","1558076126588754","922.75","-63.5","4.89033075177942"
"E200 9366 C6B6 1231 9071 BC48","1558076126594153","922.75","-61","4.65716567202081"
"E200 9366 C6B6 8171 9071 BE05","1558076126634092","922.75","-44.5","6.03161245796634"
"E200 9366 C6B6 1231 9071 BC48","1558076126639814","922.75","-61.5","4.73079674983932"
"E200 9027 6413 0145 2420 1C6E","1558076126645364","922.75","-63.5","4.85965113602171"
"E200 9366 C6B6 8171 9071 BE05","1558076126655625","922.75","-44.5","6.03774838111788"
"E200 9366 C6B6 1231 9071 BC48","1558076126661886","922.75","-61.5","4.7430685961424"
"E200 9027 6413 0145 2420 1C6E","1558076126666794","922.75","-63.5","4.90260259808251"
"E200 9366 C6B6 8171 9071 BE05","1558076126708853","922.75","-44.5","6.05615615057251"
"E200 9366 C6B6 1231 9071 BC48","1558076126713704","922.75","-61.5","4.79829190450629"
"E200 9027 6413 0145 2420 1C6E","1558076126720818","922.75","-63.5","4.91487444438559"
"E200 9366 C6B6 8171 9071 BE05","1558076126730998","922.75","-44.5","6.00093284220863"
"E200 9366 C6B6 1231 9071 BC48","1558076126737223","922.75","-61.5","4.85965113602171"
"E200 9027 6413 0145 2420 1C6E","1558076126742152","922.75","-63.5","4.93941813699176"
"E200 9366 C6B6 8171 9071 BE05","1558076126784489","927.25","-44.5","5.04372883056799"
"E200 9366 C6B6 1231 9071 BC48","1558076126789367","927.25","-62.5","0.319068003880213"
"E200 9027 6413 0145 2420 1C6E","1558076126794611","927.25","-65.5","2.1046216409791"
"E200 9366 C6B6 8171 9071 BE05","1558076126806205","927.25","-44.5","5.20939875565964"
"E200 9366 C6B6 1231 9071 BC48","1558076126809942","927.25","-62.5","0.374291312244096"
"E200 9027 6413 0145 2420 1C6E","1558076126815792","927.25","-65","2.05553425576676"
"E200 9366 C6B6 8171 9071 BE05","1558076126856592","927.25","-44.5","5.06827252317416"
"E200 9027 6413 0145 2420 1C6E","1558076126862348","927.25","-65","2.06780610206984"
"E200 9366 C6B6 1231 9071 BC48","1558076126869263","927.25","-62.5","0.404970928001809"
"E200 9366 C6B6 8171 9071 BE05","1558076126879027","927.25","-44.5","5.02532106111336"
"E200 9027 6413 0145 2420 1C6E","1558076126883839","927.25","-65.5","2.0616701789183"
"E200 9366 C6B6 1231 9071 BC48","1558076126890788","927.25","-62.5","0.386563158547182"
"E200 9366 C6B6 8171 9071 BE05","1558076126931699","927.25","-44.5","5.04986475371953"
"E200 9027 6413 0145 2420 1C6E","1558076126937929","927.25","-65.5","2.06780610206984"
"E200 9366 C6B6 1231 9071 BC48","1558076126944226","927.25","-62.5","3.52201988898543"
"E200 9366 C6B6 8171 9071 BE05","1558076126954772","927.25","-44.5","5.06213660002262"
"E200 9366 C6B6 1231 9071 BC48","1558076126959354","927.25","-62.5","3.5036121195308"
"E200 9027 6413 0145 2420 1C6E","1558076126964334","927.25","-65.5","2.00031094740288"
"E200 9366 C6B6 8171 9071 BE05","1558076127006891","926.75","-44.5","5.2032628325081"
