"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1558404029475907","924.25","-46","2.00644687055442"
"E200 9366 C6B6 8171 9071 BE05","1558404029486727","924.25","-43.5","5.85060272499584"
"E200 9366 C6B6 1231 9071 BC48","1558404029507187","924.25","-46","2.06780610206984"
"E200 9366 C6B6 8171 9071 BE05","1558404029510430","924.25","-43","5.88435030232932"
"E200 9366 C6B6 1231 9071 BC48","1558404029552224","924.25","-46","2.08007794837293"
"E200 9366 C6B6 8171 9071 BE05","1558404029555640","924.25","-43","5.85980660972315"
"E200 9366 C6B6 1231 9071 BC48","1558404029566730","924.25","-46.5","2.0187187168575"
"E200 9366 C6B6 8171 9071 BE05","1558404029569954","924.25","-43","5.87207845602623"
"E200 9366 C6B6 1231 9071 BC48","1558404029612669","924.25","-46","2.00644687055442"
"E200 9366 C6B6 8171 9071 BE05","1558404029615819","924.25","-43.5","5.87821437917778"
"E200 9366 C6B6 1231 9071 BC48","1558404029625972","924.25","-45.5","2.14143717988836"
"E200 9366 C6B6 8171 9071 BE05","1558404029628625","924.25","-43","5.8966221486324"
"E200 9366 C6B6 8171 9071 BE05","1558404029671779","923.25","-43","6.12978722839102"
"E200 9366 C6B6 1231 9071 BC48","1558404029675684","923.25","-46.5","2.33165079758617"
"E200 9366 C6B6 8171 9071 BE05","1558404029699171","923.25","-43.5","6.16046684414874"
"E200 9366 C6B6 1231 9071 BC48","1558404029702105","923.25","-46.5","2.23961195031304"
"E200 9027 6413 0145 2420 1C6E","1558404029706581","923.25","-69","5.49778714378214"
"E200 9366 C6B6 8171 9071 BE05","1558404029749011","923.25","-43.5","6.20341830620953"
"E200 9366 C6B6 1231 9071 BC48","1558404029751908","923.25","-46.5","2.26415564291921"
"E200 9027 6413 0145 2420 1C6E","1558404029757467","923.25","-69.5","5.47937937432751"
"E200 9366 C6B6 8171 9071 BE05","1558404029768329","923.25","-43.5","6.15433092099719"
"E200 9366 C6B6 1231 9071 BC48","1558404029770869","923.25","-47","2.1905245651007"
"E200 9027 6413 0145 2420 1C6E","1558404029775445","923.25","-69","5.58369006790373"
"E200 9366 C6B6 8171 9071 BE05","1558404029817558","923.25","-43.5","6.18501053675491"
"E200 9366 C6B6 1231 9071 BC48","1558404029821065","923.25","-46.5","2.31937895128309"
"E200 9027 6413 0145 2420 1C6E","1558404029825646","923.25","-69.5","5.61436968366145"
"E200 9366 C6B6 1231 9071 BC48","1558404029838741","923.25","-46.5","2.31937895128309"
"E200 9366 C6B6 8171 9071 BE05","1558404029885202","922.75","-43.5","0.0736310778185108"
"E200 9027 6413 0145 2420 1C6E","1558404029889066","922.75","-69","5.82299107081389"
"E200 9366 C6B6 8171 9071 BE05","1558404029930825","922.75","-43.5","0.0736310778185108"
"E200 9366 C6B6 1231 9071 BC48","1558404029934423","922.75","-47","2.42368964485931"
"E200 9027 6413 0145 2420 1C6E","1558404029938961","922.75","-69","5.84139884026852"
"E200 9366 C6B6 1231 9071 BC48","1558404029951106","922.75","-47","2.44209741431394"
"E200 9366 C6B6 8171 9071 BE05","1558404029953681","922.75","-43.5","0.0490873852123405"
"E200 9366 C6B6 1231 9071 BC48","1558404030008792","922.75","-47","2.38687410595006"
"E200 9366 C6B6 8171 9071 BE05","1558404030011825","922.75","-43.5","0.122718463030851"
"E200 9366 C6B6 1231 9071 BC48","1558404030024520","922.75","-47","2.35619449019234"
"E200 9366 C6B6 8171 9071 BE05","1558404030028077","922.75","-43.5","6.27704938402804"
"E200 9366 C6B6 1231 9071 BC48","1558404030082776","922.25","-47","2.50345664582937"
"E200 9366 C6B6 8171 9071 BE05","1558404030085697","922.25","-43.5","0.159534001940107"
"E200 9366 C6B6 8171 9071 BE05","1558404030109629","922.25","-43","0.134990309333936"
"E200 9366 C6B6 1231 9071 BC48","1558404030112753","922.25","-47","2.6384469551633"
"E200 9366 C6B6 1231 9071 BC48","1558404030167223","922.25","-47","2.60163141625405"
"E200 9366 C6B6 8171 9071 BE05","1558404030169751","922.25","-43.5","0.21475731030399"
"E200 9366 C6B6 8171 9071 BE05","1558404030194576","922.25","-43","0.171805848243192"
"E200 9366 C6B6 1231 9071 BC48","1558404030197098","922.25","-47","2.4789129532232"
"E200 9366 C6B6 8171 9071 BE05","1558404030252445","922.25","-43.5","0.0920388472731385"
"E200 9366 C6B6 1231 9071 BC48","1558404030255387","922.25","-47","2.50959256898091"
"E200 9366 C6B6 8171 9071 BE05","1558404030265171","922.25","-43.5","0.171805848243192"
"E200 9366 C6B6 1231 9071 BC48","1558404030283770","927.25","-45","0.969475857943725"
"E200 9366 C6B6 8171 9071 BE05","1558404030344351","927.25","-43","5.12963175468958"
"E200 9366 C6B6 1231 9071 BC48","1558404030347360","927.25","-45","1.11673801358075"
"E200 9366 C6B6 1231 9071 BC48","1558404030370720","927.25","-45","1.12287393673229"
"E200 9366 C6B6 8171 9071 BE05","1558404030374630","927.25","-43.5","5.15417544729575"
"E200 9366 C6B6 8171 9071 BE05","1558404030416343","927.25","-43.5","5.28916575662969"
"E200 9366 C6B6 1231 9071 BC48","1558404030419550","927.25","-45","1.10446616727766"
"E200 9366 C6B6 1231 9071 BC48","1558404030430094","927.25","-45","1.1965050145508"
"E200 9366 C6B6 8171 9071 BE05","1558404030433150","927.25","-43.5","5.19099098620501"
