"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1558426536991227","926.75","-43","5.81071922451081"
"E200 9366 C6B6 8171 9071 BE05","1558426537007722","926.75","-44.5","0.138058270909708"
"E200 9366 C6B6 1231 9071 BC48","1558426537027609","926.75","-42.5","5.85980660972315"
"E200 9366 C6B6 8171 9071 BE05","1558426537030549","926.75","-44.5","3.33180627128761"
"E200 9366 C6B6 8171 9071 BE05","1558426537084709","926.75","-44.5","3.23363150086293"
"E200 9366 C6B6 1231 9071 BC48","1558426537088054","926.75","-43","5.85980660972315"
"E200 9366 C6B6 1231 9071 BC48","1558426537113034","926.75","-43","5.82912699396544"
"E200 9366 C6B6 8171 9071 BE05","1558426537115953","926.75","-45","3.24590334716602"
"E200 9366 C6B6 8171 9071 BE05","1558426537170283","926.75","-44.5","3.26431111662064"
"E200 9366 C6B6 1231 9071 BC48","1558426537173122","926.75","-43","5.79844737820772"
"E200 9366 C6B6 1231 9071 BC48","1558426537207396","925.75","-43","6.09297168948177"
"E200 9366 C6B6 8171 9071 BE05","1558426537210943","925.75","-44.5","3.53429173528852"
"E200 9366 C6B6 1231 9071 BC48","1558426537266110","925.75","-43","6.01934061166326"
"E200 9366 C6B6 8171 9071 BE05","1558426537269027","925.75","-44","3.54042765844006"
"E200 9366 C6B6 1231 9071 BC48","1558426537281637","925.75","-43","6.03161245796634"
"E200 9366 C6B6 8171 9071 BE05","1558426537284544","925.75","-44","3.55269950474315"
"E200 9366 C6B6 1231 9071 BC48","1558426537339523","925.75","-43.5","6.12365130523948"
"E200 9366 C6B6 8171 9071 BE05","1558426537343226","925.75","-44","3.48520435007618"
"E200 9366 C6B6 8171 9071 BE05","1558426537355369","925.75","-44","3.50974804268235"
"E200 9366 C6B6 1231 9071 BC48","1558426537357795","925.75","-43.5","6.06229207372405"
"E200 9366 C6B6 8171 9071 BE05","1558426537420965","926.25","-44","3.35634996389378"
"E200 9366 C6B6 1231 9071 BC48","1558426537423404","926.25","-43","5.97638914960246"
"E200 9366 C6B6 8171 9071 BE05","1558426537434546","926.25","-44","3.35634996389378"
"E200 9366 C6B6 1231 9071 BC48","1558426537437260","926.25","-43","6.0254765348148"
"E200 9366 C6B6 1231 9071 BC48","1558426537491654","926.25","-43","6.03774838111788"
"E200 9366 C6B6 8171 9071 BE05","1558426537495422","926.25","-44","3.39316550280304"
"E200 9366 C6B6 8171 9071 BE05","1558426537518513","926.25","-44","3.39930142595458"
"E200 9366 C6B6 1231 9071 BC48","1558426537521341","926.25","-43","6.0254765348148"
"E200 9366 C6B6 1231 9071 BC48","1558426537576743","923.75","-43.5","0.331339850183298"
"E200 9366 C6B6 8171 9071 BE05","1558426537579718","923.75","-43","4.17242774304894"
"E200 9366 C6B6 1231 9071 BC48","1558426537604667","923.75","-43","0.319068003880213"
"E200 9366 C6B6 8171 9071 BE05","1558426537607053","923.75","-43.5","4.08038889577581"
"E200 9366 C6B6 8171 9071 BE05","1558426537652465","923.75","-43.5","4.15401997359432"
"E200 9366 C6B6 1231 9071 BC48","1558426537654887","923.75","-43","0.319068003880213"
"E200 9366 C6B6 1231 9071 BC48","1558426537677201","923.75","-43.5","0.380427235395639"
"E200 9366 C6B6 8171 9071 BE05","1558426537680611","923.75","-43.5","4.13561220413969"
"E200 9366 C6B6 8171 9071 BE05","1558426537735518","923.75","-43","4.17856366620049"
"E200 9366 C6B6 1231 9071 BC48","1558426537739602","923.75","-43","0.392699081698724"
"E200 9366 C6B6 8171 9071 BE05","1558426537789935","925.25","-44","3.71836942983479"
"E200 9366 C6B6 1231 9071 BC48","1558426537792745","925.25","-43.5","6.20341830620953"
"E200 9366 C6B6 8171 9071 BE05","1558426537834364","925.25","-43.5","3.68768981407708"
"E200 9366 C6B6 1231 9071 BC48","1558426537837445","925.25","-43.5","6.27704938402804"
"E200 9366 C6B6 8171 9071 BE05","1558426537860956","925.25","-44","3.69996166038017"
"E200 9366 C6B6 1231 9071 BC48","1558426537863611","925.25","-43.5","6.2279619988157"
"E200 9366 C6B6 8171 9071 BE05","1558426537909095","925.25","-43.5","3.64473835201628"
"E200 9366 C6B6 1231 9071 BC48","1558426537911587","925.25","-43.5","6.18501053675491"
"E200 9366 C6B6 1231 9071 BC48","1558426537936050","925.25","-43.5","6.20341830620953"
"E200 9366 C6B6 8171 9071 BE05","1558426537938454","925.25","-44","3.675417967774"
