"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1B71 9071 BC6D","1558601312533537","926.25","-49","2.54027218473862"
"3008 33B2 DDD9 0140 0000 0000","1558601312542302","926.25","-54","4.61114624838424"
"E200 4145 2609 0145 0260 F396","1558601312553213","926.25","-50.5","2.09234979467601"
"E200 5128 9010 0045 1970 4A28","1558601312567394","926.25","-52.5","0.466330159517235"
"E280 1160 6000 0208 BE57 8C71","1558601312576898","926.25","-57","0.745514662912422"
"E200 9366 C6B6 75B1 9071 BDD6","1558601312579878","926.25","-53","5.23394244826581"
"E200 9366 C6B6 8171 9071 BE05","1558601312588497","926.25","-45","4.57739867105075"
"0000 0000 0000 0000 0000 0007","1558601312598087","926.25","-51.5","5.52539879796408"
"E200 9366 C6B6 1231 9071 BC48","1558601312603494","926.25","-45.5","4.33196174498905"
"E200 4145 2609 0145 0270 F4B1","1558601312612605","926.25","-52.5","0.819145740730932"
"E200 2075 6017 0147 1280 93FC","1558601312639386","926.25","-63","0.644271930911969"
"2015 0521 132D 0000 0000 0011","1558601312670176","926.25","-57.5","1.33763124703628"
"3008 33B2 DDD9 0140 0000 0000","1558601312736466","922.75","-56","2.81025280340649"
"E200 4145 2609 0145 0260 F396","1558601312743428","922.75","-49.5","3.41770919540921"
"E200 4145 2609 0145 0270 F4B1","1558601312749909","922.75","-50","2.01258279370596"
"E200 5128 9010 0045 1970 4A28","1558601312756616","922.75","-51","1.76714586764426"
"0000 0000 0000 0000 0000 0007","1558601312764678","922.75","-51.5","0.441786466911065"
"E200 9366 C6B6 8171 9071 BE05","1558601312769788","922.75","-44.5","5.51005899008522"
"E200 9366 C6B6 1B71 9071 BC6D","1558601312777338","922.75","-48.5","3.89631120122953"
"E200 9366 C6B6 1231 9071 BC48","1558601312787108","922.75","-44.5","5.27075798717506"
"E200 2075 6017 0147 1280 93FC","1558601312806715","922.75","-62.5","2.1046216409791"
"E200 9366 C6B6 75B1 9071 BDD6","1558601312841653","922.75","-54","0.0306796157577128"
"E200 5128 9010 0045 1880 528B","1558601312874468","922.75","-64.5","2.12302941043373"
"0000 0000 0000 0000 0000 0007","1558601312938548","922.25","-52","0.840621471761331"
"E200 5128 9010 0045 1970 4A28","1558601312939269","922.25","-51.5","1.96963133164516"
"3008 33B2 DDD9 0140 0000 0000","1558601312941425","922.25","-55","3.23363150086293"
"E200 4145 2609 0145 0270 F4B1","1558601312943653","922.25","-51.5","2.46050518376857"
"E200 9366 C6B6 1B71 9071 BC6D","1558601312947127","922.25","-50","4.04970928001809"
"E200 9366 C6B6 8171 9071 BE05","1558601312949628","922.25","-44.5","5.64504929941916"
"E200 4145 2609 0145 0260 F396","1558601312951794","922.25","-50","3.6324665057132"
"E200 9366 C6B6 1231 9071 BC48","1558601312954065","922.25","-45","5.37506868075129"
"E200 9366 C6B6 75B1 9071 BDD6","1558601312968659","922.25","-54","0.122718463030851"
"E200 2075 6017 0147 1280 93FC","1558601313001417","922.25","-62.5","2.20279641140378"
"9629 0000 0000 0000 0000 0011","1558601313029279","922.25","-61.5","5.83526291711698"
"E200 9366 C6B6 1B71 9071 BC6D","1558601313052805","922.25","-49.5","4.05584520316964"
"E200 4145 2609 0145 0260 F396","1558601313054949","922.25","-49.5","3.69382573722862"
"E200 9366 C6B6 8171 9071 BE05","1558601313057353","922.25","-44.5","5.60209783735836"
"E200 4145 2609 0145 0270 F4B1","1558601313060298","922.25","-51","2.36846633649543"
"3008 33B2 DDD9 0140 0000 0000","1558601313062378","922.25","-54","2.83479649601267"
"E200 5128 9010 0045 1970 4A28","1558601313064535","922.25","-51.5","1.98190317794825"
"E200 9366 C6B6 1231 9071 BC48","1558601313067039","922.25","-45","5.4486997585698"
"0000 0000 0000 0000 0000 0007","1558601313069896","922.25","-51.5","0.736310778185108"
"E200 9366 C6B6 75B1 9071 BDD6","1558601313070508","922.25","-54","3.35021404074224"
"E280 1160 6000 0208 BE57 8C71","1558601313094996","922.25","-59","5.46710752802443"
"E200 5128 9010 0045 1880 528B","1558601313152132","925.25","-63","4.7001171340816"
"E200 2075 6017 0147 1280 93FC","1558601313190810","925.25","-63","1.01856324315607"
"3008 33B2 DDD9 0140 0000 0000","1558601313232553","925.25","-64","1.98803910109979"
"E200 5128 9010 0045 1970 4A28","1558601313267620","925.25","-52.5","1.00015547370144"
"E200 4145 2609 0145 0260 F396","1558601313270405","925.25","-50.5","2.4359614911624"
"E200 9366 C6B6 8171 9071 BE05","1558601313274902","925.25","-45.5","4.81056375080937"
"0000 0000 0000 0000 0000 0007","1558601313277467","925.25","-51.5","5.93343768754166"
