"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 1231 9071 BC48","1558076069637287","925.25","-44.5","1.60147594255261"
"E200 9366 C6B6 8171 9071 BE05","1558076069646303","925.25","-44","4.81976763553668"
"E200 9366 C6B6 1231 9071 BC48","1558076069667375","925.25","-44.5","1.68124294352266"
"E200 9366 C6B6 8171 9071 BE05","1558076069671145","925.25","-44","4.81669967396091"
"E200 9366 C6B6 1231 9071 BC48","1558076069742748","925.25","-45","1.71805848243192"
"E200 9366 C6B6 8171 9071 BE05","1558076069745938","925.25","-44","4.828971520264"
"E200 9366 C6B6 1231 9071 BC48","1558076069760108","925.25","-45","1.57693224994644"
"E200 9366 C6B6 8171 9071 BE05","1558076069763638","925.25","-43.5","4.81056375080937"
"E200 9027 6413 0145 2420 1C6E","1558076069767501","925.25","-66.5","0.398835004850267"
"E200 9366 C6B6 1231 9071 BC48","1558076069824457","923.75","-45","5.16951525517461"
"E200 9366 C6B6 8171 9071 BE05","1558076069834298","923.75","-43.5","5.16644729359884"
"E200 9366 C6B6 1231 9071 BC48","1558076069864879","923.75","-45","5.16644729359884"
"E200 9366 C6B6 8171 9071 BE05","1558076069870786","923.75","-43.5","2.02485464000905"
"E200 9366 C6B6 1231 9071 BC48","1558076069912369","923.75","-45","2.03712648631213"
"E200 9366 C6B6 8171 9071 BE05","1558076069915045","923.75","-43.5","5.18485506305347"
"E200 9366 C6B6 8171 9071 BE05","1558076069951328","923.75","-43.5","5.23394244826581"
"E200 9366 C6B6 1231 9071 BC48","1558076069954115","923.75","-44.5","2.03099056316059"
"E200 9366 C6B6 8171 9071 BE05","1558076069999878","923.75","-43.5","5.22780652511427"
"E200 9366 C6B6 1231 9071 BC48","1558076070002696","923.75","-45","2.18438864194915"
"E200 9366 C6B6 8171 9071 BE05","1558076070047418","923.25","-43","5.41802014281208"
"E200 9366 C6B6 1231 9071 BC48","1558076070049995","923.25","-45.5","2.30710710498"
"E200 9366 C6B6 1231 9071 BC48","1558076070105082","923.25","-45","2.27029156607075"
"E200 9366 C6B6 8171 9071 BE05","1558076070107569","923.25","-43","5.38120460390283"
"E200 9027 6413 0145 2420 1C6E","1558076070112807","923.25","-65.5","4.8719229823248"
"E200 9366 C6B6 1231 9071 BC48","1558076070123672","923.25","-45","2.28869933552538"
"E200 9366 C6B6 8171 9071 BE05","1558076070126700","923.25","-43","5.41802014281208"
"E200 9366 C6B6 8171 9071 BE05","1558076070187346","923.25","-43","5.405748296509"
"E200 9366 C6B6 1231 9071 BC48","1558076070189728","923.25","-45","2.1046216409791"
"E200 9027 6413 0145 2420 1C6E","1558076070194100","923.25","-65","4.89033075177942"
"E200 9366 C6B6 8171 9071 BE05","1558076070205782","923.25","-43","5.39961237335746"
"E200 9366 C6B6 1231 9071 BC48","1558076070223356","922.75","-45","2.4359614911624"
"E200 9366 C6B6 8171 9071 BE05","1558076070374040","922.75","-43.5","5.47324345117597"
"E200 9366 C6B6 1231 9071 BC48","1558076070377664","922.75","-45","2.41755372170777"
"E200 9366 C6B6 8171 9071 BE05","1558076070388496","922.75","-43","5.54687452899448"
"E200 9366 C6B6 1231 9071 BC48","1558076070391468","922.75","-45","2.48504887637474"
"E200 9027 6413 0145 2420 1C6E","1558076070396383","922.75","-65","5.34438906499357"
"E200 9366 C6B6 8171 9071 BE05","1558076070439053","927.25","-44.5","4.50990351638379"
"E200 9366 C6B6 1231 9071 BC48","1558076070441879","927.25","-44.5","1.02469916630761"
"E200 9027 6413 0145 2420 1C6E","1558076070447069","927.25","-68","2.22734010400995"
"E200 9366 C6B6 1231 9071 BC48","1558076070456765","927.25","-44.5","1.04924285891378"
"E200 9366 C6B6 8171 9071 BE05","1558076070460670","927.25","-44.5","4.61421420996001"
"E200 9366 C6B6 8171 9071 BE05","1558076070515876","927.25","-44.5","4.58967051735384"
"E200 9366 C6B6 1231 9071 BC48","1558076070518451","927.25","-44.5","1.07378655151995"
"E200 9366 C6B6 1231 9071 BC48","1558076070529663","927.25","-44.5","1.09833024412612"
"E200 9366 C6B6 8171 9071 BE05","1558076070532568","927.25","-44.5","4.5835345942023"
"E200 9027 6413 0145 2420 1C6E","1558076070537330","927.25","-69","2.0187187168575"
"E200 9366 C6B6 1231 9071 BC48","1558076070580141","927.25","-44.5","1.16582539879309"
"E200 9366 C6B6 8171 9071 BE05","1558076070582638","927.25","-44.5","4.47922390062607"
"E200 9027 6413 0145 2420 1C6E","1558076070586190","927.25","-68","2.11075756413064"
"E200 9366 C6B6 8171 9071 BE05","1558076070598727","927.25","-45","4.7001171340816"
"E200 9366 C6B6 1231 9071 BC48","1558076070601575","927.25","-44.5","1.1106020904292"
"E200 9027 6413 0145 2420 1C6E","1558076070605991","927.25","-68.5","5.34438906499357"
"E200 9366 C6B6 8171 9071 BE05","1558076070647601","926.75","-44","4.57126274789921"
"E200 9366 C6B6 1231 9071 BC48","1558076070651603","926.75","-44.5","1.28854386182394"
"E200 9366 C6B6 1231 9071 BC48","1558076070676679","926.75","-44","1.28854386182394"
"E200 9366 C6B6 8171 9071 BE05","1558076070679198","926.75","-44.5","4.64489382571772"
"E200 9366 C6B6 1231 9071 BC48","1558076070721196","926.75","-44.5","1.34376717018782"
