"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563014946","924.75","-52","0.269980618667873"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563069878","924.75","-52.5","0.276116541819415"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563225452","924.25","-52","3.55269950474315"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563278661","924.25","-52.5","3.60792281310703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563450145","926.25","-52.5","2.95751495904352"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563512231","926.25","-52.5","3.0127382674074"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563624729","927.25","-52.5","2.66912657092102"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563695900","927.25","-52.5","2.73048580243644"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563850146","923.75","-52.5","3.66928204462245"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764563928406","923.75","-53.5","0.245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564062063","927.75","-57","1.42967009430942"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564113697","927.75","-57","1.42967009430942"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564281939","922.75","-52","4.43013651541373"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564348993","922.75","-50.5","4.47308797747453"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564502849","922.25","-50","3.76745681504713"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564563211","922.25","-50","3.92699081698724"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564717305","925.75","-53.5","3.27044703977219"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564771908","925.75","-56","2.56481587734479"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764564933159","926.75","-57.5","1.08605839782303"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565002237","926.75","-56.5","1.66283517406803"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565073764","926.75","-54","2.68753434037564"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565183563","923.25","-50","3.84108789286565"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565290609","923.25","-50","0.116582539879309"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565363390","925.25","-50.5","6.25250569142187"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565463332","925.25","-52","3.84108789286565"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565551581","924.75","-56","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565653132","924.75","-57","2.27029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565741519","924.25","-56.5","2.77343726449724"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565821675","924.25","-54","3.81040827710793"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764565924379","926.25","-51","0.245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566001541","926.25","-50.5","2.90842757383118"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566151640","927.25","-51","6.09910761263331"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566233942","927.25","-53.5","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566304821","923.75","-56","6.2709134608765"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566434408","923.75","-57.5","2.12302941043373"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566510370","927.75","-57.5","1.50943709527947"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566619388","927.75","-53","5.92730176439012"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566676464","922.75","-50.5","4.30128212923134"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566808259","922.75","-50.5","0.417242774304894"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566877426","922.25","-50","4.09266074207889"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764566986049","922.25","-52.5","4.71238898038469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567077454","925.75","-57","2.31324302813155"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567170152","925.75","-58","1.56466040364335"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567257210","926.75","-57","2.1475731030399"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567364508","926.75","-52","0.227029156607075"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567444895","923.25","-50","4.10493258838198"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567555951","923.25","-50","3.82881604656256"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567659295","925.25","-51","3.81040827710793"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567750497","925.25","-53.5","3.66928204462245"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567887635","924.75","-57.5","2.01258279370596"
"E200 9366 C6B6 7BF1 9071 BDEF","1574764567988796","924.75","-57","2.31937895128309"
