"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879193220","927.25","-62.5","0.282252464970958"
"3008 33B2 DDD9 0140 0000 0000","1574320879211183","927.25","-65.5","0.392699081698724"
"3039 6061 C3C8 CD00 0005 72E8","1574320879220461","927.25","-48.5","5.54687452899448"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879237265","927.25","-57.5","0.711767085578938"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879256626","927.25","-62.5","0.417242774304894"
"3008 33B2 DDD9 0140 0000 0000","1574320879276218","927.25","-65","0.521553467881118"
"3039 6061 C3C8 CD00 0005 72E8","1574320879280948","927.25","-49","5.57755414475219"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879299360","927.25","-57.5","0.71790300873048"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879355609","927.25","-57","0.791534086548991"
"3039 6061 C3C8 CD00 0005 72E8","1574320879397908","924.25","-49","0.846757394912874"
"3008 33B2 DDD9 0140 0000 0000","1574320879412798","924.25","-62.5","4.08038889577581"
"3008 33B2 DDD9 0140 0000 0000","1574320879417263","924.25","-63","4.61421420996001"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879433651","924.25","-62.5","0.809941856003619"
"3039 6061 C3C8 CD00 0005 72E8","1574320879455306","924.25","-49.5","3.99448597165421"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879472368","924.25","-62.5","0.754718547639735"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879492968","924.25","-56.5","4.47922390062607"
"3008 33B2 DDD9 0140 0000 0000","1574320879507810","924.25","-63","4.1662918198974"
"3008 33B2 DDD9 0140 0000 0000","1574320879513340","924.25","-62.5","4.70625305723315"
"3008 33B2 DDD9 0140 0000 0000","1574320879567715","924.25","-62.5","4.67557344147543"
"3039 6061 C3C8 CD00 0005 72E8","1574320879607022","923.75","-49.5","4.252194744019"
"3008 33B2 DDD9 0140 0000 0000","1574320879624353","923.75","-62.5","4.22151512826128"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879628274","923.75","-56","4.61421420996001"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879642591","923.75","-62.5","0.877437010670587"
"3039 6061 C3C8 CD00 0005 72E8","1574320879666795","923.75","-49.5","1.11673801358075"
"3008 33B2 DDD9 0140 0000 0000","1574320879681819","923.75","-62","1.09219432097458"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879691231","923.75","-56.5","4.60194236365692"
"3008 33B2 DDD9 0140 0000 0000","1574320879706702","923.75","-62.5","4.7860200582032"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879721601","923.75","-62","0.822213702306704"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879773393","923.75","-56.5","1.4848934026733"
"3039 6061 C3C8 CD00 0005 72E8","1574320879803982","926.75","-49","5.82912699396544"
"3008 33B2 DDD9 0140 0000 0000","1574320879821623","926.75","-64.5","0.392699081698724"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879825427","926.75","-63","0.435650543759522"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879848326","926.75","-63.5","0.355883542789469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879865517","926.75","-57.5","0.877437010670587"
"3039 6061 C3C8 CD00 0005 72E8","1574320879883068","926.75","-49","5.81685514766235"
"3008 33B2 DDD9 0140 0000 0000","1574320879898252","926.75","-64.5","0.355883542789469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320879948959","926.75","-57.5","0.828349625458246"
"3039 6061 C3C8 CD00 0005 72E8","1574320879962581","926.75","-49","5.80458330135927"
"3008 33B2 DDD9 0140 0000 0000","1574320879979083","926.75","-64.5","0.515417544729575"
"E200 9366 C6B6 67B1 9071 BD9E","1574320879994767","922.75","-62","1.01242732000452"
"3008 33B2 DDD9 0140 0000 0000","1574320880015978","922.75","-61.5","5.03759290741645"
"3008 33B2 DDD9 0140 0000 0000","1574320880043967","922.75","-61.5","5.10508806208341"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320880060306","922.75","-56","4.73079674983932"
"3039 6061 C3C8 CD00 0005 72E8","1574320880074543","922.75","-49.5","4.7430685961424"
"3008 33B2 DDD9 0140 0000 0000","1574320880090221","922.75","-62","1.37444678594553"
"E200 9366 C6B6 67B1 9071 BD9E","1574320880095756","922.75","-62.5","0.963339934792183"
"3008 33B2 DDD9 0140 0000 0000","1574320880149988","922.75","-61.5","5.00077736850719"
"3008 33B2 DDD9 0140 0000 0000","1574320880167085","922.75","-62","4.62648605626309"
"E200 9366 C6B6 67B1 9071 BD9E","1574320880199399","925.75","-63","0.45405831321415"
"3039 6061 C3C8 CD00 0005 72E8","1574320880213509","925.75","-49.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320880230904","925.75","-57","4.14174812729123"
