"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929779726467","923.75","-52.5","3.47906842692463"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929779793687","923.75","-52.5","3.49747619637926"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929779914967","922.25","-52.5","3.99448597165421"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929779983503","922.25","-52.5","3.95153450959341"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780096768","926.25","-52.5","5.87207845602623"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780167663","926.25","-52.5","5.91502991808703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780319620","922.75","-52.5","3.81040827710793"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780388639","922.75","-52.5","3.82268012341102"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780499211","927.75","-52.5","2.30710710498"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780555607","927.75","-52.5","2.3500585670408"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780659200","927.75","-53","2.28869933552538"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780753442","926.75","-53","2.60776733940559"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780842568","926.75","-53","2.49732072267782"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929780931099","924.25","-52.5","0.116582539879309"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781028927","924.25","-53","0.0306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781133726","925.75","-52.5","5.85367068657161"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781281964","924.75","-52.5","6.25864161457342"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781354383","924.75","-52.5","6.19114645990645"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781495611","925.25","-52.5","6.26477753772496"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781566484","925.25","-53","6.24636976827033"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781684244","927.25","-53.5","2.41755372170777"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781732010","927.25","-53.5","2.37460225964697"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781865985","923.25","-53","3.50974804268235"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929781924328","923.25","-53.5","3.55883542789469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782074648","923.75","-53","0.233165079758617"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782138145","923.75","-53.5","3.36862181019687"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782296696","922.25","-53","3.86563158547182"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782361794","922.25","-53","3.89631120122953"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782516264","926.25","-53.5","5.84753476342006"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782555150","926.25","-53.5","2.77343726449724"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782728800","922.75","-54","3.88403935492644"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782777886","922.75","-53.5","3.92699081698724"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782920697","927.75","-54","5.77390368560155"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929782997061","927.75","-54","2.63231103201176"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783142627","926.75","-55.5","5.9395736106932"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783215324","926.75","-56.5","2.66299064776947"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783369586","924.25","-58","2.74275764873953"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783422876","924.25","-58","2.37460225964697"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783576773","925.75","-59.5","0.920388472731385"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783642112","925.75","-60","0.42951462060798"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783799312","924.75","-60","0.257708772364788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783877267","924.75","-60","0.306796157577128"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929783979675","925.25","-59.5","0.177941771394734"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784054434","925.25","-59","0.147262155637022"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784190857","927.25","-59.5","5.63277745311607"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784269743","927.25","-59","5.59596191420682"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784378358","923.25","-57.5","0.748582624488193"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784464050","923.25","-57","0.515417544729575"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784558718","923.75","-57","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784647120","923.75","-57","5.68800076147996"
"E200 9366 C6B6 7BF1 9071 BDEF","1574929784776003","922.25","-56.5","5.44256383541826"
