"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"3039 6061 C3C8 CD00 0005 72E8","1574321053504230","925.25","-49.5","0.625864161457342"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053518490","925.25","-58.5","5.85980660972315"
"E200 9366 C6B6 67B1 9071 BD9E","1574321053534910","925.25","-63","4.99464144535565"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053568356","925.25","-58.5","5.86594253287469"
"E200 9366 C6B6 67B1 9071 BD9E","1574321053584864","925.25","-63","4.97009775274948"
"3039 6061 C3C8 CD00 0005 72E8","1574321053599792","925.25","-49.5","3.81654420025948"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053659503","925.25","-58","5.85367068657161"
"3039 6061 C3C8 CD00 0005 72E8","1574321053702924","926.25","-49.5","3.25203927031756"
"E200 9366 C6B6 67B1 9071 BD9E","1574321053717115","926.25","-63.5","1.57693224994644"
"E200 9366 C6B6 67B1 9071 BD9E","1574321053751272","926.25","-63.5","4.7860200582032"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053765224","926.25","-59","5.64504929941916"
"3039 6061 C3C8 CD00 0005 72E8","1574321053778741","926.25","-49.5","0.153398078788564"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053835903","926.25","-59","5.6511852225707"
"3039 6061 C3C8 CD00 0005 72E8","1574321053858294","926.25","-49.5","0.122718463030851"
"E200 9366 C6B6 67B1 9071 BD9E","1574321053872669","926.25","-63.5","4.70625305723315"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053900931","922.25","-57","0.306796157577128"
"E200 9366 C6B6 67B1 9071 BD9E","1574321053917300","922.25","-61.5","5.68186483832841"
"3039 6061 C3C8 CD00 0005 72E8","1574321053932294","922.25","-50.5","5.35052498814512"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321053999983","922.25","-57","0.294524311274043"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054014430","922.25","-61","5.76776776245001"
"3039 6061 C3C8 CD00 0005 72E8","1574321054027782","922.25","-50.5","5.3198453723874"
"3039 6061 C3C8 CD00 0005 72E8","1574321054055265","922.25","-50.5","5.34438906499357"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321054103067","927.75","-58.5","5.35052498814512"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054118048","927.75","-64","1.37444678594553"
"3039 6061 C3C8 CD00 0005 72E8","1574321054170028","927.75","-49.5","5.6082337605099"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321054191818","927.75","-58.5","2.20893233455532"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054206938","927.75","-64","1.33149532388474"
"3039 6061 C3C8 CD00 0005 72E8","1574321054230375","927.75","-49.5","5.63277745311607"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054250514","927.75","-64","4.57126274789921"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321054267264","927.75","-59.5","5.33825314184203"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321054324167","927.25","-59.5","5.4486997585698"
"3039 6061 C3C8 CD00 0005 72E8","1574321054340955","927.25","-49.5","5.89048622548086"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054359533","927.25","-63.5","4.67557344147543"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054389692","927.25","-64.5","1.3989904785517"
"3039 6061 C3C8 CD00 0005 72E8","1574321054402946","927.25","-49.5","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321054424723","927.25","-59","2.27642748922229"
"3039 6061 C3C8 CD00 0005 72E8","1574321054484320","927.25","-49.5","5.88435030232932"
"E200 9366 C6B6 7BF1 9071 BDEF","1574321054514825","924.25","-58","6.04388430426943"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054530489","924.25","-62.5","5.27075798717506"
"3039 6061 C3C8 CD00 0005 72E8","1574321054553750","924.25","-50","1.19036909139926"
"E200 9366 C6B6 67B1 9071 BD9E","1574321054571139","924.25","-62.5","5.13576767784113"
