"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763985800827","924.75","-50.5","5.57141822160065"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763985845732","924.75","-50.5","5.54687452899448"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763985910018","924.75","-51","5.58982599105528"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763985940601","924.75","-50.5","5.58369006790373"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986016438","924.25","-50.5","5.74935999299538"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986040743","924.25","-50.5","5.74322406984384"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986111846","924.25","-51","5.7370881466923"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986134701","924.25","-50.5","5.73095222354076"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986217255","926.25","-51","5.18485506305347"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986250615","926.25","-51","5.17871913990192"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986310179","926.25","-51","5.17871913990192"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986343113","926.25","-51","5.17871913990192"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986417066","927.25","-51","4.91487444438559"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986450047","927.25","-51","4.92714629068868"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986519368","927.25","-51","4.91487444438559"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986538886","927.25","-51","4.90260259808251"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986615712","923.75","-51","5.85367068657161"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986652003","923.75","-50.5","5.91502991808703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986717332","923.75","-51","5.92116584123858"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986745091","923.75","-50.5","5.86594253287469"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986817415","927.75","-51","4.73079674983932"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986844596","927.75","-51","4.76147636559703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986911505","927.75","-51","4.7430685961424"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763986948064","927.75","-51","4.75534044244549"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987022701","922.75","-51","6.23409792196725"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987052006","922.75","-51","6.19114645990645"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987118208","922.75","-51","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987145805","922.75","-50.5","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987226403","922.25","-51","0.0368155389092554"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987258742","922.25","-50.5","0.0736310778185108"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987324887","922.25","-50.5","0.042951462060798"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987352808","922.25","-51","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987425304","925.75","-51","5.30757352608432"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987458850","925.75","-51","5.32598129553895"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987524550","925.75","-51","5.33211721869049"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987551864","925.75","-51","5.3198453723874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987624929","926.75","-51","5.04986475371953"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987660333","926.75","-51","5.02532106111336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987730038","926.75","-51","5.0744084463257"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987760072","926.75","-51","5.04986475371953"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987821829","923.25","-51","6.08069984317868"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987868787","923.25","-51","6.03774838111788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987933689","923.25","-51","6.05002022742097"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763987965875","923.25","-50.5","6.03774838111788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988033439","925.25","-50.5","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988063119","925.25","-51","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988137232","925.25","-51","5.4916512206306"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988166123","925.25","-51","5.46097160487288"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988241594","924.75","-50.5","5.6082337605099"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988268234","924.75","-51","5.6082337605099"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988327806","924.75","-50.5","5.60209783735836"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988369137","924.75","-51","5.62050560681299"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988443011","924.25","-51","5.7370881466923"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988476741","924.25","-50.5","5.75549591614693"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988542311","924.25","-51","5.76163183929847"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988577913","924.25","-51","5.73095222354076"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988646412","926.25","-51","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988671432","926.25","-50.5","5.17258321675038"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988742816","926.25","-51","5.19712690935655"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988764765","926.25","-51","5.19099098620501"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988840980","927.25","-51","4.88419482862788"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988886241","927.25","-51","4.89033075177942"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988946876","927.25","-51","4.90260259808251"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763988975772","927.25","-51","4.92101036753714"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989044469","923.75","-51","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989087177","923.75","-50.5","5.93343768754166"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989141596","923.75","-51","5.90889399493549"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989184043","923.75","-50.5","5.90275807178395"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989254582","927.75","-51","4.73693267299086"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989289814","927.75","-51","4.7430685961424"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989352393","927.75","-51","4.75534044244549"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989390887","927.75","-51","4.76761228874857"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989466049","922.75","-50.5","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989495889","922.75","-51","6.19728238305799"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989556489","922.75","-51","6.16046684414874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989592608","922.75","-51","6.17887461360336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989663175","922.25","-51","0.0613592315154256"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989701903","922.25","-50.5","0.0245436926061703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989762582","922.25","-50.5","0.0184077694546277"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989790186","922.25","-51","0.0552233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989870792","925.75","-51","5.33825314184203"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989902501","925.75","-50.5","5.3198453723874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989970256","925.75","-51","5.33211721869049"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763989992904","925.75","-51","5.3198453723874"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990071050","926.75","-51","5.01918513796182"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990095598","926.75","-50.5","5.02532106111336"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990168887","926.75","-50.5","5.04372883056799"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990198948","926.75","-51","5.04372883056799"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990275670","923.25","-51","6.06229207372405"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990307912","923.25","-51","6.07456392002714"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990373708","923.25","-51","6.04388430426943"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990406529","923.25","-50.5","6.06229207372405"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990480339","925.25","-51","5.50392306693368"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990510979","925.25","-51","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990569336","925.25","-50.5","5.47937937432751"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990609362","925.25","-51","5.47324345117597"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990684104","924.75","-51","5.57755414475219"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990720605","924.75","-51","5.63277745311607"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990775823","924.75","-50.5","5.61436968366145"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990808044","924.75","-51","5.62664152996453"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990883311","924.25","-51","5.7370881466923"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990911456","924.25","-51","5.75549591614693"
"E200 9366 C6B6 7BF1 9071 BDEF","1574763990980418","924.25","-51","5.74935999299538"
