"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"3039 6061 C3C8 CD00 0005 72E8","1574320035019742","925.25","-47.5","0.674951546669682"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035036103","925.25","-51","5.92116584123858"
"3008 33B2 DDD9 0140 0000 0000","1574320035052338","925.25","-64.5","4.39332097650448"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035056237","925.25","-48.5","6.11751538208794"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035079219","925.25","-51","5.91502991808703"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035095791","925.25","-48.5","6.12365130523948"
"3008 33B2 DDD9 0140 0000 0000","1574320035112121","925.25","-64.5","4.36264136074676"
"3039 6061 C3C8 CD00 0005 72E8","1574320035117559","925.25","-48","3.84722381601719"
"3039 6061 C3C8 CD00 0005 72E8","1574320035170873","925.25","-48","0.705631162427395"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035212084","926.25","-51","5.71254445408613"
"3008 33B2 DDD9 0140 0000 0000","1574320035229571","926.25","-65.5","0.809941856003619"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035236701","926.25","-48.5","5.87207845602623"
"3008 33B2 DDD9 0140 0000 0000","1574320035261816","926.25","-65","4.03130151056347"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035270438","926.25","-48.5","5.89048622548086"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035283949","926.25","-51","5.73095222354076"
"3039 6061 C3C8 CD00 0005 72E8","1574320035299518","926.25","-47.5","0.147262155637022"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035361677","926.25","-51.5","5.73095222354076"
"3008 33B2 DDD9 0140 0000 0000","1574320035376440","926.25","-65","3.95153450959341"
"3039 6061 C3C8 CD00 0005 72E8","1574320035380467","926.25","-47.5","0.122718463030851"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035421306","922.25","-48.5","0.490873852123405"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035446938","922.25","-51.5","0.276116541819415"
"3008 33B2 DDD9 0140 0000 0000","1574320035465463","922.25","-63","4.97623367590102"
"3008 33B2 DDD9 0140 0000 0000","1574320035470764","922.25","-63.5","5.55301045214602"
"3039 6061 C3C8 CD00 0005 72E8","1574320035484734","922.25","-49","5.405748296509"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035501242","922.25","-48.5","0.47860200582032"
"3008 33B2 DDD9 0140 0000 0000","1574320035555073","922.25","-63.5","5.4916512206306"
"3039 6061 C3C8 CD00 0005 72E8","1574320035571532","922.25","-49","5.38734052705437"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035588309","922.25","-48.5","0.490873852123405"
"3008 33B2 DDD9 0140 0000 0000","1574320035603701","922.25","-62.5","5.01304921481028"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035632875","927.75","-51","5.41188421966054"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035650940","927.75","-48.5","5.57755414475219"
"3039 6061 C3C8 CD00 0005 72E8","1574320035667190","927.75","-47.5","5.62664152996453"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035682825","927.75","-51","5.41802014281208"
"3008 33B2 DDD9 0140 0000 0000","1574320035701723","927.75","-65","0.650407854063512"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035749635","927.75","-51","5.39961237335746"
"3008 33B2 DDD9 0140 0000 0000","1574320035770595","927.75","-65.5","0.472466082668777"
"3039 6061 C3C8 CD00 0005 72E8","1574320035774777","927.75","-47.5","5.62664152996453"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035790759","927.75","-48.5","5.58982599105528"
"3039 6061 C3C8 CD00 0005 72E8","1574320035839353","927.25","-47.5","5.8966221486324"
"3008 33B2 DDD9 0140 0000 0000","1574320035857534","927.25","-65.5","3.93926266329033"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035862218","927.25","-51","5.52233083638831"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035877668","927.25","-48.5","5.6941366846315"
"E200 9366 C6B6 67B1 9071 BD9E","1574320035933600","927.25","-51","5.52846675953985"
"3039 6061 C3C8 CD00 0005 72E8","1574320035949309","927.25","-47.5","5.8966221486324"
"3008 33B2 DDD9 0140 0000 0000","1574320035964441","927.25","-65.5","0.66881562351814"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320035974275","927.25","-48.5","5.68800076147996"
"3039 6061 C3C8 CD00 0005 72E8","1574320035993507","927.25","-47.5","2.75502949504261"
"3008 33B2 DDD9 0140 0000 0000","1574320036012593","927.25","-65","0.66881562351814"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320036058434","924.25","-48.5","0.0552233083638831"
"3008 33B2 DDD9 0140 0000 0000","1574320036075861","924.25","-64.5","4.82283559711246"
"E200 9366 C6B6 67B1 9071 BD9E","1574320036088889","924.25","-51","6.15433092099719"
"E200 9366 C6B6 7BF1 9071 BDEF","1574320036140128","924.25","-48.5","0.0674951546669682"
"3039 6061 C3C8 CD00 0005 72E8","1574320036153572","924.25","-48","4.36264136074676"
"3008 33B2 DDD9 0140 0000 0000","1574320036176494","924.25","-63.5","4.47308797747453"
