"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245369962307","922.25","-48.5","5.98866099590554"
"E200 9366 C6B6 5A31 9071 BD68","1574245369977777","922.25","-56","2.31937895128309"
"E200 9366 C6B6 7371 9071 BDCD","1574245369993850","922.25","-51","2.28869933552538"
"E200 9366 C6B6 6771 9071 BD9D","1574245370010474","922.25","-57.5","6.16660276730028"
"E200 9366 C6B6 65B1 9071 BD96","1574245370026259","922.25","-46","6.12978722839102"
"E200 9366 C6B6 55F1 9071 BD57","1574245370040237","922.25","-49.5","3.31953442498453"
"E200 9366 C6B6 63B1 9071 BD8E","1574245370054785","922.25","-55","0.300660234425586"
"E200 9366 C6B6 5D71 9071 BD75","1574245370069700","922.25","-54.5","1.04310693576224"
"E200 9366 C6B6 67B1 9071 BD9E","1574245370084676","922.25","-58","5.982525072754"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245370099784","922.25","-55","5.68800076147996"
"E200 9366 C6B6 5571 9071 BD55","1574245370113628","922.25","-54","6.18501053675491"
"E200 9366 C6B6 8031 9071 BE00","1574245370126551","922.25","-58.5","5.55914637529756"
"E200 9366 C6B6 67B1 9071 BD9E","1574245370151902","926.25","-58.5","5.00077736850719"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245370169524","926.25","-48.5","4.85351521287017"
"E200 9366 C6B6 55F1 9071 BD57","1574245370185575","926.25","-48.5","1.74260217503809"
"E200 9366 C6B6 65B1 9071 BD96","1574245370200331","926.25","-45","4.84124336656708"
"E200 9366 C6B6 6571 9071 BD95","1574245370215532","926.25","-45","5.59596191420682"
"E200 9366 C6B6 7371 9071 BDCD","1574245370230541","926.25","-49","1.40512640170325"
"E200 9366 C6B6 6C31 9071 BDB0","1574245370246384","926.25","-50.5","6.01934061166326"
"E200 9366 C6B6 5571 9071 BD55","1574245370259737","926.25","-54.5","2.23347602716149"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245370275054","926.25","-55","1.66897109721958"
"E200 9366 C6B6 5D71 9071 BD75","1574245370289053","926.25","-51","0.435650543759522"
"E200 9366 C6B6 63B1 9071 BD8E","1574245370303508","926.25","-53.5","5.82299107081389"
"E200 9366 C6B6 5A31 9071 BD68","1574245370351267","925.25","-58.5","2.06780610206984"
"E200 9366 C6B6 6771 9071 BD9D","1574245370367258","925.25","-56.5","5.55914637529756"
"E200 9366 C6B6 8031 9071 BE00","1574245370380701","925.25","-59","4.63875790256618"
"E200 9366 C6B6 5D71 9071 BD75","1574245370430518","925.25","-51.5","0.650407854063512"
"E200 9366 C6B6 55F1 9071 BD57","1574245370446403","925.25","-48.5","2.15984494934298"
"3039 6061 C3C8 CD00 0005 72E8","1574245370460187","925.25","-60.5","4.84124336656708"
"E200 9366 C6B6 6C31 9071 BDB0","1574245370479444","925.25","-50","0.0122718463030851"
"E200 9366 C6B6 6571 9071 BD95","1574245370493358","925.25","-45.5","5.95184545699629"
"E200 9366 C6B6 7371 9071 BDCD","1574245370509805","925.25","-49.5","1.66283517406803"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245370523000","925.25","-48.5","5.09895213893187"
"E200 9366 C6B6 5A31 9071 BD68","1574245370562773","923.25","-57","2.33165079758617"
"E200 9366 C6B6 65B1 9071 BD96","1574245370577987","923.25","-46","5.77390368560155"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245370593945","923.25","-54.5","1.81009732970506"
"E200 9366 C6B6 63B1 9071 BD8E","1574245370608013","923.25","-54","0.122718463030851"
"E200 9366 C6B6 5571 9071 BD55","1574245370622208","923.25","-54.5","2.92069942013426"
"E200 9366 C6B6 6771 9071 BD9D","1574245370640315","923.25","-57.5","5.9395736106932"
"E200 9366 C6B6 67B1 9071 BD9E","1574245370661934","923.25","-58","4.83510744341554"
"E200 9366 C6B6 8031 9071 BE00","1574245370675949","923.25","-58.5","5.27075798717506"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245370698368","923.25","-48.5","5.6511852225707"
"E200 9366 C6B6 5A31 9071 BD68","1574245370712372","923.25","-56.5","2.06780610206984"
"E200 9366 C6B6 65B1 9071 BD96","1574245370727791","923.25","-46","5.79231145505618"
"E200 9366 C6B6 63B1 9071 BD8E","1574245370752539","927.75","-52.5","2.20279641140378"
"E200 9366 C6B6 5D71 9071 BD75","1574245370766922","927.75","-50","0.0184077694546277"
"3039 6061 C3C8 CD00 0005 72E8","1574245370781136","927.75","-60","0.159534001940107"
"E200 9366 C6B6 55F1 9071 BD57","1574245370796469","927.75","-48.5","1.03697101261069"
"E200 9366 C6B6 6571 9071 BD95","1574245370809543","927.75","-45","4.93941813699176"
"E200 9366 C6B6 7371 9071 BDCD","1574245370825808","927.75","-48","1.1106020904292"
"E200 9366 C6B6 67B1 9071 BD9E","1574245370839087","927.75","-59","5.61436968366145"
"E200 9366 C6B6 6C31 9071 BDB0","1574245370854323","927.75","-51.5","5.38120460390283"
"E200 9366 C6B6 8031 9071 BE00","1574245370869588","927.75","-59","4.65716567202081"
"E200 9366 C6B6 5571 9071 BD55","1574245370885820","927.75","-54","2.28256341237383"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245370899114","927.75","-55.5","5.24007837141735"
"E200 9366 C6B6 6771 9071 BD9D","1574245370915543","927.75","-57","4.7430685961424"
"3039 6061 C3C8 CD00 0005 72E8","1574245370966396","927.25","-60","0.355883542789469"
"E200 9366 C6B6 6C31 9071 BDB0","1574245370986265","927.25","-52.5","5.67572891517687"
"E200 9366 C6B6 67B1 9071 BD9E","1574245371002867","927.25","-59.5","1.5707963267949"
"E200 9366 C6B6 7371 9071 BDCD","1574245371017365","927.25","-47.5","1.1965050145508"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245371032597","927.25","-49","4.39945689965602"
"E200 9366 C6B6 63B1 9071 BD8E","1574245371047950","927.25","-53","2.23347602716149"
"E200 9366 C6B6 6571 9071 BD95","1574245371063241","927.25","-45.5","5.09895213893187"
"E200 9366 C6B6 65B1 9071 BD96","1574245371078325","927.25","-45.5","4.57739867105075"
"E200 9366 C6B6 55F1 9071 BD57","1574245371093613","927.25","-48.5","1.30081570812702"
"E200 9366 C6B6 5D71 9071 BD75","1574245371107639","927.25","-50","0.147262155637022"
"E200 9366 C6B6 5571 9071 BD55","1574245371121940","927.25","-53.5","2.31324302813155"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245371137925","927.25","-56","0.816077779155161"
"E200 9366 C6B6 8031 9071 BE00","1574245371177361","924.25","-59","4.88419482862788"
"E200 9366 C6B6 6771 9071 BD9D","1574245371192902","924.25","-58","5.77390368560155"
"E200 9366 C6B6 5A31 9071 BD68","1574245371206887","924.25","-56.5","1.33763124703628"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245371225017","924.25","-49","5.34438906499357"
"E200 9366 C6B6 7371 9071 BDCD","1574245371241856","924.25","-48.5","1.90827210012974"
"E200 9366 C6B6 6C31 9071 BDB0","1574245371257826","924.25","-52.5","0.472466082668777"
"3039 6061 C3C8 CD00 0005 72E8","1574245371271152","924.25","-60","5.24007837141735"
"E200 9366 C6B6 8031 9071 BE00","1574245371289141","924.25","-59","1.94508763903899"
"E200 9366 C6B6 65B1 9071 BD96","1574245371304735","924.25","-46.5","5.53460268269139"
"E200 9366 C6B6 6571 9071 BD95","1574245371320898","924.25","-46","6.03161245796634"
"E200 9366 C6B6 63B1 9071 BD8E","1574245371333813","924.25","-54.5","5.99479691905709"
"E200 9366 C6B6 5571 9071 BD55","1574245371349530","924.25","-53.5","2.78570911080032"
"E200 9366 C6B6 55F1 9071 BD57","1574245371385675","924.75","-49","2.3500585670408"
"E200 9366 C6B6 5D71 9071 BD75","1574245371401609","924.75","-50.5","0.66881562351814"
"E200 9366 C6B6 6771 9071 BD9D","1574245371417362","924.75","-57.5","5.77390368560155"
"E200 9366 C6B6 5A31 9071 BD68","1574245371432596","924.75","-58.5","1.17809724509617"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245371446413","924.75","-56.5","0.26384469551633"
"E200 9366 C6B6 67B1 9071 BD9E","1574245371459662","924.75","-60","5.84139884026852"
"E200 9366 C6B6 55F1 9071 BD57","1574245371509546","924.75","-49","2.30710710498"
"E200 9366 C6B6 63B1 9071 BD8E","1574245371526072","924.75","-54.5","6.03161245796634"
"E200 9366 C6B6 5D71 9071 BD75","1574245371541168","924.75","-51","0.509281621578033"
"3039 6061 C3C8 CD00 0005 72E8","1574245371555536","924.75","-60","4.92101036753714"
"E200 9366 C6B6 65B1 9071 BD96","1574245371597330","926.75","-45.5","4.77374821190012"
"E200 9366 C6B6 6771 9071 BD9D","1574245371613606","926.75","-56","5.27689391032661"
"E200 9366 C6B6 8031 9071 BE00","1574245371626986","926.75","-58.5","1.58920409624952"
"E200 9366 C6B6 6571 9071 BD95","1574245371642242","926.75","-45.5","5.36893275759974"
"E200 9366 C6B6 5A31 9071 BD68","1574245371657298","926.75","-59","5.68186483832841"
"E200 9366 C6B6 7371 9071 BDCD","1574245371673597","926.75","-49","1.22718463030851"
"E200 9366 C6B6 6C31 9071 BDB0","1574245371686888","926.75","-50.5","6.12978722839102"
"E200 9366 C6B6 5571 9071 BD55","1574245371702269","926.75","-52.5","2.03712648631213"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245371716240","926.75","-48.5","4.63262197941464"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245371730741","926.75","-60","0.484737928971863"
"E200 9366 C6B6 67B1 9071 BD9E","1574245371749545","926.75","-60.5","6.22182607566416"
"E200 9366 C6B6 6571 9071 BD95","1574245371790814","925.75","-45","5.73095222354076"
"E200 9366 C6B6 6771 9071 BD9D","1574245371807716","925.75","-56.5","5.24007837141735"
"E200 9366 C6B6 67B1 9071 BD9E","1574245371827843","925.75","-60.5","5.87821437917778"
"E200 9366 C6B6 65B1 9071 BD96","1574245371842624","925.75","-45","4.90260259808251"
"3039 6061 C3C8 CD00 0005 72E8","1574245371856841","925.75","-60","4.63875790256618"
"E200 9366 C6B6 5D71 9071 BD75","1574245371874244","925.75","-52.5","0.435650543759522"
"E200 9366 C6B6 6C31 9071 BDB0","1574245371888784","925.75","-50","5.96411730329937"
"E200 9366 C6B6 8031 9071 BE00","1574245371906276","925.75","-58.5","1.47262155637022"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245371922699","925.75","-48.5","4.93328221384022"
"E200 9366 C6B6 7371 9071 BDCD","1574245371935983","925.75","-50","1.84691286861431"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245371952511","925.75","-60.5","1.41126232485479"
"E200 9366 C6B6 5571 9071 BD55","1574245371991383","922.75","-53","5.78617553190464"
"E200 9366 C6B6 63B1 9071 BD8E","1574245372006758","922.75","-54.5","0.227029156607075"
"E200 9366 C6B6 55F1 9071 BD57","1574245372020603","922.75","-51","3.14159265358979"
"E200 9366 C6B6 5A31 9071 BD68","1574245372033651","922.75","-56","5.95798138014783"
"E200 9366 C6B6 6C31 9071 BDB0","1574245372083309","922.75","-50.5","0.484737928971863"
"E200 9366 C6B6 55F1 9071 BD57","1574245372099157","922.75","-51","0.0920388472731385"
"E200 9366 C6B6 7371 9071 BDCD","1574245372116936","922.75","-51","2.54640810789016"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245372130930","922.75","-48.5","5.85980660972315"
"E200 9366 C6B6 63B1 9071 BD8E","1574245372149031","922.75","-54","0.208621387152447"
"E200 9366 C6B6 6571 9071 BD95","1574245372165740","922.75","-46","0.202485464000905"
"E200 9366 C6B6 65B1 9071 BD96","1574245372191068","923.75","-45.5","5.49778714378214"
"E200 9366 C6B6 5D71 9071 BD75","1574245372220641","923.75","-52.5","1.34990309333936"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245372233839","923.75","-58","6.0684279968756"
"E200 9366 C6B6 5571 9071 BD55","1574245372262395","923.75","-55","5.8966221486324"
"3039 6061 C3C8 CD00 0005 72E8","1574245372275416","923.75","-61","5.61436968366145"
"E200 9366 C6B6 5A31 9071 BD68","1574245372294071","923.75","-55.5","2.25801971976766"
"E200 9366 C6B6 67B1 9071 BD9E","1574245372308941","923.75","-60.5","5.85980660972315"
"E200 9366 C6B6 8031 9071 BE00","1574245372327665","923.75","-58","5.27075798717506"
"E200 9366 C6B6 6771 9071 BD9D","1574245372341214","923.75","-58.5","0.098174770424681"
"E200 9366 C6B6 63B1 9071 BD8E","1574245372361401","923.75","-53.5","6.2709134608765"
"E200 9366 C6B6 8031 9071 BE00","1574245372400582","922.25","-57.5","5.53460268269139"
"E200 9366 C6B6 6571 9071 BD95","1574245372416641","922.25","-46.5","0.245436926061703"
"E200 9366 C6B6 7371 9071 BDCD","1574245372432724","922.25","-50","2.52800033843554"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245372447329","922.25","-48","6.01934061166326"
"E200 9366 C6B6 65B1 9071 BD96","1574245372463438","922.25","-46","6.05615615057251"
"E200 9366 C6B6 5A31 9071 BD68","1574245372476504","922.25","-55","2.41141779855623"
"E200 9366 C6B6 5571 9071 BD55","1574245372492744","922.25","-53.5","0.208621387152447"
"E200 9366 C6B6 5D71 9071 BD75","1574245372506756","922.25","-52.5","1.44807786376405"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245372521449","922.25","-57.5","5.18485506305347"
"E200 9366 C6B6 6771 9071 BD9D","1574245372540595","922.25","-57.5","0.497009775274948"
"E200 9366 C6B6 6C31 9071 BDB0","1574245372553733","922.25","-51","0.987883627398353"
"E200 9366 C6B6 55F1 9071 BD57","1574245372569612","922.25","-50.5","0.368155389092554"
"3039 6061 C3C8 CD00 0005 72E8","1574245372613887","926.25","-59.5","4.19697143565511"
"E200 9366 C6B6 67B1 9071 BD9E","1574245372628159","926.25","-60","0.423378697456437"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245372678579","926.25","-57","0.803805932852076"
"E200 9366 C6B6 55F1 9071 BD57","1574245372694314","926.25","-49","1.95122356219054"
"E200 9366 C6B6 65B1 9071 BD96","1574245372710249","926.25","-45.5","4.85965113602171"
"3039 6061 C3C8 CD00 0005 72E8","1574245372724271","926.25","-60","0.889708856973672"
"E200 9366 C6B6 6571 9071 BD95","1574245372742490","926.25","-45.5","5.32598129553895"
"E200 9366 C6B6 6C31 9071 BDB0","1574245372760102","926.25","-51.5","6.07456392002714"
"E200 9366 C6B6 8031 9071 BE00","1574245372801050","925.25","-58","4.81056375080937"
"E200 9366 C6B6 7371 9071 BDCD","1574245372817471","925.25","-48","1.730330328735"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245372830625","925.25","-48.5","5.10508806208341"
"E200 9366 C6B6 5D71 9071 BD75","1574245372846168","925.25","-50","0.773126317094363"
"E200 9366 C6B6 67B1 9071 BD9E","1574245372862459","925.25","-60","0.306796157577128"
"E200 9366 C6B6 5A31 9071 BD68","1574245372878510","925.25","-56.5","1.54011671103718"
"E200 9366 C6B6 6771 9071 BD9D","1574245372892585","925.25","-55.5","6.08069984317868"
"E200 9366 C6B6 5571 9071 BD55","1574245372918285","925.25","-53","5.93343768754166"
"E200 9366 C6B6 63B1 9071 BD8E","1574245372931994","925.25","-53","5.78617553190464"
"E200 9366 C6B6 7371 9071 BDCD","1574245372951973","925.25","-48","1.69351478982575"
"E200 9366 C6B6 65B1 9071 BD96","1574245372967327","925.25","-46","5.19712690935655"
"E200 9366 C6B6 5571 9071 BD55","1574245373006036","923.25","-52.5","0.128854386182394"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245373020915","923.25","-48","5.61436968366145"
"E200 9366 C6B6 5D71 9071 BD75","1574245373039865","923.25","-51","1.14741762933846"
"E200 9366 C6B6 6571 9071 BD95","1574245373053859","923.25","-47","6.23409792196725"
"E200 9366 C6B6 5A31 9071 BD68","1574245373069142","923.25","-55.5","1.9021361769782"
"E200 9366 C6B6 8031 9071 BE00","1574245373082376","923.25","-57","2.13530125673681"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245373118680","923.25","-57","0.711767085578938"
"E200 9366 C6B6 6C31 9071 BDB0","1574245373133358","923.25","-51","0.754718547639735"
"E200 9366 C6B6 63B1 9071 BD8E","1574245373152715","923.25","-54","6.24023384511879"
"E200 9366 C6B6 55F1 9071 BD57","1574245373166972","923.25","-49.5","0.0368155389092554"
"E200 9366 C6B6 6771 9071 BD9D","1574245373221306","927.75","-54","5.42415606596363"
"3039 6061 C3C8 CD00 0005 72E8","1574245373254361","927.75","-60","0.122718463030851"
"E200 9366 C6B6 67B1 9071 BD9E","1574245373268678","927.75","-59.5","5.38734052705437"
"E200 9366 C6B6 5D71 9071 BD75","1574245373319774","927.75","-49","0.00613592315154256"
"3039 6061 C3C8 CD00 0005 72E8","1574245373333682","927.75","-60","6.26477753772496"
"E200 9366 C6B6 6771 9071 BD9D","1574245373349212","927.75","-54.5","5.33211721869049"
"E200 9366 C6B6 55F1 9071 BD57","1574245373364618","927.75","-48.5","1.30081570812702"
"E200 9366 C6B6 6571 9071 BD95","1574245373379688","927.75","-45.5","4.8719229823248"
"E200 9366 C6B6 8031 9071 BE00","1574245373422448","927.25","-58","1.34990309333936"
"E200 9366 C6B6 63B1 9071 BD8E","1574245373436623","927.25","-52.5","5.39347645020591"
"E200 9366 C6B6 65B1 9071 BD96","1574245373452621","927.25","-45.5","4.55899090159613"
"E200 9366 C6B6 7BF1 9071 BDEF","1574245373467311","927.25","-57","5.88435030232932"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245373482604","927.25","-48.5","4.41786466911065"
"E200 9366 C6B6 7371 9071 BDCD","1574245373496482","927.25","-47.5","1.12900985988383"
"E200 9366 C6B6 5A31 9071 BD68","1574245373511916","927.25","-58","1.45421378691559"
"E200 9366 C6B6 5571 9071 BD55","1574245373543692","927.25","-53.5","5.54073860584294"
"E200 9366 C6B6 6C31 9071 BDB0","1574245373557288","927.25","-51.5","5.97025322645092"
"E200 9366 C6B6 67B1 9071 BD9E","1574245373570345","927.25","-60","5.38734052705437"
"E200 9366 C6B6 8031 9071 BE00","1574245373619316","924.25","-57.5","5.00077736850719"
"3039 6061 C3C8 CD00 0005 72E8","1574245373633533","924.25","-60.5","5.04372883056799"
"E200 9366 C6B6 65B1 9071 BD96","1574245373650797","924.25","-46","5.47937937432751"
"E200 9366 C6B6 6BF1 9071 BDAF","1574245373672297","924.25","-48","5.30757352608432"
"E200 9366 C6B6 5D71 9071 BD75","1574245373688994","924.25","-50.5","0.951068088489098"
"E200 9366 C6B6 63B1 9071 BD8E","1574245373703590","924.25","-53.5","5.97025322645092"
"E200 9366 C6B6 55F1 9071 BD57","1574245373720433","924.25","-49","2.77343726449724"
"E200 9366 C6B6 7371 9071 BDCD","1574245373736831","924.25","-48.5","1.88372840752357"
"E200 9366 C6B6 6571 9071 BD95","1574245373750600","924.25","-46.5","6.00093284220863"
"E200 9366 C6B6 6C31 9071 BDB0","1574245373765386","924.25","-51","0.484737928971863"
"E200 9366 C6B6 6771 9071 BD9D","1574245373780510","924.25","-55.5","6.27704938402804"
