"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 5A31 9071 BD68","1574238311250807","925.75","-50","5.90275807178395"
"E200 9366 C6B6 7371 9071 BDCD","1574238311268926","925.75","-45.5","0.938796242186012"
"E200 9366 C6B6 65B1 9071 BD96","1574238311283716","925.75","-46","4.66943751832389"
"E200 9366 C6B6 5D71 9071 BD75","1574238311299848","925.75","-50","0.177941771394734"
"3039 6061 C3C8 CD00 0005 72E8","1574238311312931","925.75","-56.5","4.01902966426038"
"E200 9366 C6B6 55F1 9071 BD57","1574238311327300","925.75","-47","1.52170894158256"
"E200 9366 C6B6 8031 9071 BE00","1574238311349231","925.75","-60.5","1.19036909139926"
"E200 9366 C6B6 7371 9071 BDCD","1574238311366331","925.75","-45.5","0.93266031903447"
"E200 9366 C6B6 55F1 9071 BD57","1574238311379975","925.75","-47","1.55238855734027"
"E200 9366 C6B6 5A31 9071 BD68","1574238311394609","925.75","-50","5.88435030232932"
"E200 9366 C6B6 65B1 9071 BD96","1574238311410845","925.75","-46","4.68170936462698"
"E200 9366 C6B6 5D71 9071 BD75","1574238311424258","925.75","-50","0.184077694546277"
"E200 9366 C6B6 6771 9071 BD9D","1574238311460970","922.75","-54","5.25848614087198"
"3039 6061 C3C8 CD00 0005 72E8","1574238311474466","922.75","-58","5.11122398523496"
"E200 9366 C6B6 5A31 9071 BD68","1574238311524515","922.75","-50","0.632000084608884"
"E200 9366 C6B6 65B1 9071 BD96","1574238311541223","922.75","-46.5","5.6511852225707"
"E200 9366 C6B6 55F1 9071 BD57","1574238311556609","922.75","-48.5","5.95184545699629"
"E200 9366 C6B6 6771 9071 BD9D","1574238311571843","922.75","-54","5.22780652511427"
"3039 6061 C3C8 CD00 0005 72E8","1574238311585978","922.75","-58","5.21553467881118"
"E200 9366 C6B6 7371 9071 BDCD","1574238311600347","922.75","-46","1.81009732970506"
"E200 9366 C6B6 5D71 9071 BD75","1574238311614389","922.75","-51.5","0.760854470791278"
"E200 9366 C6B6 8031 9071 BE00","1574238311627602","922.75","-58","5.405748296509"
"E200 9366 C6B6 55F1 9071 BD57","1574238311662338","923.75","-48","2.38073818279852"
"E200 9366 C6B6 7371 9071 BDCD","1574238311677019","923.75","-46","1.50943709527947"
"E200 9366 C6B6 65B1 9071 BD96","1574238311693393","923.75","-46.5","5.30143760293278"
"3039 6061 C3C8 CD00 0005 72E8","1574238311706849","923.75","-57.5","4.85351521287017"
"E200 9366 C6B6 6771 9071 BD9D","1574238311721110","923.75","-54","5.01304921481028"
"E200 9366 C6B6 5A31 9071 BD68","1574238311736281","923.75","-50","0.368155389092554"
"E200 9366 C6B6 5D71 9071 BD75","1574238311750294","923.75","-51","0.625864161457342"
"E200 9366 C6B6 8031 9071 BE00","1574238311763509","923.75","-59","5.27689391032661"
"E200 9366 C6B6 55F1 9071 BD57","1574238311812768","923.75","-48","2.44823333746548"
"E200 9366 C6B6 6771 9071 BD9D","1574238311852234","922.25","-54","5.37506868075129"
"E200 9366 C6B6 65B1 9071 BD96","1574238311868225","922.25","-46.5","5.82299107081389"
"E200 9366 C6B6 5A31 9071 BD68","1574238311883481","922.25","-50","0.828349625458246"
"3039 6061 C3C8 CD00 0005 72E8","1574238311897367","922.25","-58","5.57755414475219"
"E200 9366 C6B6 5D71 9071 BD75","1574238311911776","922.25","-52","0.871301087519044"
"E200 9366 C6B6 7371 9071 BDCD","1574238311925814","922.25","-46","1.95735948534208"
"E200 9366 C6B6 8031 9071 BE00","1574238311939288","922.25","-58","5.80458330135927"
"3039 6061 C3C8 CD00 0005 72E8","1574238311963265","922.25","-58","5.405748296509"
"E200 9366 C6B6 55F1 9071 BD57","1574238311978889","922.25","-49","6.16046684414874"
"E200 9366 C6B6 65B1 9071 BD96","1574238311994069","922.25","-46.5","5.7800396087531"
"E200 9366 C6B6 5D71 9071 BD75","1574238312009761","922.25","-52","0.828349625458246"
"E200 9366 C6B6 5A31 9071 BD68","1574238312048082","926.25","-50","5.71254445408613"
"E200 9366 C6B6 7371 9071 BDCD","1574238312062225","926.25","-45.5","0.803805932852076"
"E200 9366 C6B6 6771 9071 BD9D","1574238312075515","926.25","-53.5","4.40559282280756"
"E200 9366 C6B6 6771 9071 BD9D","1574238312139373","926.25","-53.5","4.29514620607979"
"E200 9366 C6B6 5D71 9071 BD75","1574238312153685","926.25","-49.5","0.0552233083638831"
"E200 9366 C6B6 7371 9071 BDCD","1574238312169839","926.25","-46","0.822213702306704"
"E200 9366 C6B6 65B1 9071 BD96","1574238312185184","926.25","-46","4.46081613117144"
"3039 6061 C3C8 CD00 0005 72E8","1574238312199065","926.25","-56","3.63860242886474"
"E200 9366 C6B6 55F1 9071 BD57","1574238312213312","926.25","-47","1.30695163127857"
"E200 9366 C6B6 5A31 9071 BD68","1574238312250280","925.25","-50","6.12978722839102"
"E200 9366 C6B6 65B1 9071 BD96","1574238312274653","925.25","-46","4.82283559711246"
"E200 9366 C6B6 8031 9071 BE00","1574238312290876","925.25","-60","4.66330159517235"
"E200 9366 C6B6 6771 9071 BD9D","1574238312304940","925.25","-54","4.60807828680847"
"3039 6061 C3C8 CD00 0005 72E8","1574238312319865","925.25","-56.5","4.08038889577581"
"E200 9366 C6B6 7371 9071 BDCD","1574238312333534","925.25","-46","1.08605839782303"
"E200 9366 C6B6 55F1 9071 BD57","1574238312347518","925.25","-47.5","1.78555363709889"
"E200 9366 C6B6 5D71 9071 BD75","1574238312368057","925.25","-50","0.269980618667873"
"E200 9366 C6B6 5A31 9071 BD68","1574238312381993","925.25","-50","6.08683576633022"
"E200 9366 C6B6 65B1 9071 BD96","1574238312455450","923.25","-46","5.46710752802443"
"E200 9366 C6B6 8031 9071 BE00","1574238312471464","923.25","-58.5","5.43029198911517"
"3039 6061 C3C8 CD00 0005 72E8","1574238312487089","923.25","-57.5","5.15417544729575"
"E200 9366 C6B6 5A31 9071 BD68","1574238312504350","923.25","-50","0.497009775274948"
"E200 9366 C6B6 55F1 9071 BD57","1574238312518250","923.25","-49","2.65685472461793"
"E200 9366 C6B6 7371 9071 BDCD","1574238312536532","923.25","-46","1.63829148146186"
"E200 9366 C6B6 5D71 9071 BD75","1574238312550288","923.25","-51","0.748582624488193"
"E200 9366 C6B6 6771 9071 BD9D","1574238312563486","923.25","-54.5","5.06827252317416"
"E200 9366 C6B6 7371 9071 BDCD","1574238312584765","923.25","-46.5","1.60147594255261"
"3039 6061 C3C8 CD00 0005 72E8","1574238312597930","923.25","-57.5","4.99464144535565"
"E200 9366 C6B6 65B1 9071 BD96","1574238312616611","923.25","-46","5.48551529747905"
"E200 9366 C6B6 5D71 9071 BD75","1574238312631856","923.25","-51","0.803805932852076"
"E200 9366 C6B6 55F1 9071 BD57","1574238312655843","927.75","-47.5","0.558369006790373"
"E200 9366 C6B6 5A31 9071 BD68","1574238312671824","927.75","-50.5","5.41188421966054"
"E200 9366 C6B6 6771 9071 BD9D","1574238312685197","927.75","-54","0.859029241215959"
"3039 6061 C3C8 CD00 0005 72E8","1574238312735395","927.75","-55","5.97025322645092"
"E200 9366 C6B6 5A31 9071 BD68","1574238312755397","927.75","-51","5.41188421966054"
"E200 9366 C6B6 6771 9071 BD9D","1574238312770626","927.75","-54.5","0.914252549579842"
"E200 9366 C6B6 7371 9071 BDCD","1574238312787072","927.75","-45.5","0.171805848243192"
"E200 9366 C6B6 55F1 9071 BD57","1574238312800854","927.75","-47","0.570640853093458"
"E200 9366 C6B6 65B1 9071 BD96","1574238312816276","927.75","-46","3.85949566232027"
"E200 9366 C6B6 5D71 9071 BD75","1574238312852974","927.25","-49.5","5.96411730329937"
"E200 9366 C6B6 7371 9071 BDCD","1574238312870960","927.25","-45.5","0.398835004850267"
"E200 9366 C6B6 5A31 9071 BD68","1574238312890490","927.25","-50.5","5.43029198911517"
"E200 9366 C6B6 65B1 9071 BD96","1574238312904272","927.25","-46","0.969475857943725"
"3039 6061 C3C8 CD00 0005 72E8","1574238312918112","927.25","-55.5","6.21569015251262"
"E200 9366 C6B6 5D71 9071 BD75","1574238312934493","927.25","-49","5.95798138014783"
"E200 9366 C6B6 55F1 9071 BD57","1574238312949969","927.25","-47.5","0.822213702306704"
