"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E280 6810 0000 003C 3450 CC60","1583995281506904","925.75","-47.5","6.13899111311834"
"E280 6810 0000 003C 3450 CC4D","1583995281511383","925.75","-49","6.27398142245227"
"E280 6810 0000 003C 3450 CC4D","1583995281517722","925.75","-49","0.021475731030399"
"E280 6810 0000 003C 3450 CC60","1583995281522610","925.75","-47.5","6.16967072887605"
"E280 6810 0000 003C 3450 CC4D","1583995281559050","925.75","-49","6.24023384511879"
"E280 6810 0000 003C 3450 CC60","1583995281563533","925.75","-47.5","6.16967072887605"
"E280 6810 0000 003C 3450 CC4D","1583995281571235","925.75","-49","0.0122718463030851"
"E280 6810 0000 003C 3450 CC60","1583995281574998","925.75","-47.5","6.14512703626988"
"E280 6810 0000 003C 3450 CC4D","1583995281611829","925.75","-49","0.00306796157577128"
"E280 6810 0000 003C 3450 CC60","1583995281616306","925.75","-47.5","6.12978722839102"
"E280 6810 0000 003C 3450 CC60","1583995281622481","925.75","-47.5","6.14512703626988"
"E280 6810 0000 003C 3450 CC4D","1583995281627592","925.75","-49","0.00613592315154256"
"E280 6810 0000 003C 3450 CC4D","1583995281664268","925.75","-49","0.0245436926061703"
"E280 6810 0000 003C 3450 CC60","1583995281668793","925.75","-47.5","6.17273869045182"
"E280 6810 0000 003C 3450 CC60","1583995281675192","925.75","-47.5","6.18194257517913"
"E280 6810 0000 003C 3450 CC4D","1583995281679105","925.75","-49","0.00306796157577128"
"E280 6810 0000 003C 3450 CC4D","1583995281717112","927.25","-48.5","5.99172895748131"
"E280 6810 0000 003C 3450 CC60","1583995281720666","927.25","-47","5.83833087869275"
"E280 6810 0000 003C 3450 CC60","1583995281728264","927.25","-47","5.79537941663195"
"E280 6810 0000 003C 3450 CC4D","1583995281732945","927.25","-48.5","5.98559303432977"
"E280 6810 0000 003C 3450 CC60","1583995281770690","927.25","-47","5.81992310923812"
"E280 6810 0000 003C 3450 CC4D","1583995281774613","927.25","-48.5","5.99479691905709"
"E280 6810 0000 003C 3450 CC60","1583995281783469","927.25","-47","5.84139884026852"
"E280 6810 0000 003C 3450 CC4D","1583995281786596","927.25","-48.5","5.97332118802669"
"E280 6810 0000 003C 3450 CC60","1583995281825442","927.25","-47","5.82912699396544"
"E280 6810 0000 003C 3450 CC4D","1583995281828596","927.25","-48.5","5.98866099590554"
"E280 6810 0000 003C 3450 CC60","1583995281838496","927.25","-47","5.84753476342006"
"E280 6810 0000 003C 3450 CC4D","1583995281841804","927.25","-48.5","6.01320468851171"
"E280 6810 0000 003C 3450 CC60","1583995281878716","927.25","-47","5.84139884026852"
"E280 6810 0000 003C 3450 CC4D","1583995281883837","927.25","-48.5","5.96718526487514"
"E280 6810 0000 003C 3450 CC60","1583995281890338","927.25","-47","5.85367068657161"
"E280 6810 0000 003C 3450 CC4D","1583995281894850","927.25","-48.5","5.99172895748131"
"E280 6810 0000 003C 3450 CC4D","1583995281930322","925.25","-49","0.125786424606623"
"E280 6810 0000 003C 3450 CC60","1583995281934007","925.25","-48","6.24636976827033"
"E280 6810 0000 003C 3450 CC60","1583995281942804","925.25","-48","0"
"E280 6810 0000 003C 3450 CC4D","1583995281946888","925.25","-49","0.11965050145508"
