"EPC","Timestamp","ChannelInMhz","PeakRssiInDbm","PhaseAngleInRadians"
"E200 9366 C6B6 7371 9071 BDCD","1583993823876020","926.75","-43","6.09910761263331"
"E200 9366 C6B6 5A31 9071 BD68","1583993823880089","926.75","-48.5","1.47262155637022"
"E200 9366 C6B6 6BF1 9071 BDAF","1583993823884375","926.75","-52.5","5.0314569842649"
"E200 9366 C6B6 5771 9071 BD5D","1583993823890734","926.75","-44.5","1.43580601746096"
"E200 9366 C6B6 6BF1 9071 BDAF","1583993823894076","926.75","-52.5","5.0099812532345"
"E200 9366 C6B6 5571 9071 BD55","1583993823898041","926.75","-44.5","4.84431132814285"
"E200 9366 C6B6 7371 9071 BDCD","1583993823901896","926.75","-43","6.10831149736062"
"E200 9366 C6B6 55F1 9071 BD57","1583993823905528","926.75","-44.5","0.217825271879761"
"E200 9366 C6B6 65B1 9071 BD96","1583993823909293","926.75","-46.5","0.530757352608432"
"E200 9366 C6B6 6C31 9071 BDB0","1583993823913078","926.75","-58.5","1.32842736230897"
"E200 9366 C6B6 63B1 9071 BD8E","1583993823918055","926.75","-54.5","0.0245436926061703"
"E200 9366 C6B6 6571 9071 BD95","1583993823921209","926.75","-49.5","5.1388356394169"
"E200 9366 C6B6 5A31 9071 BD68","1583993823925011","926.75","-49","1.51250505685524"
"E200 9366 C6B6 5D71 9071 BD75","1583993823928474","926.75","-57","3.86563158547182"
"E200 9366 C6B6 7371 9071 BDCD","1583993823964564","926.75","-43","2.9483110743162"
"E200 9366 C6B6 5571 9071 BD55","1583993823969359","926.75","-44.5","1.68431090509843"
"E200 9366 C6B6 63B1 9071 BD8E","1583993823972969","926.75","-54.5","0.0920388472731385"
"E200 9366 C6B6 5A31 9071 BD68","1583993823976311","926.75","-49","4.64182586414195"
"E200 9366 C6B6 6571 9071 BD95","1583993823980362","926.75","-49.5","5.18485506305347"
"E200 9366 C6B6 5771 9071 BD5D","1583993823983521","926.75","-44.5","1.43887397903673"
"E200 9366 C6B6 55F1 9071 BD57","1583993823987190","926.75","-44.5","0.233165079758617"
"E200 9366 C6B6 65B1 9071 BD96","1583993823990645","926.75","-46.5","0.546097160487288"
"E200 9366 C6B6 6BF1 9071 BDAF","1583993823993922","926.75","-52.5","1.86532063806894"
"E200 9366 C6B6 5D71 9071 BD75","1583993823997512","926.75","-56.5","3.90244712438107"
"E200 9366 C6B6 6C31 9071 BDB0","1583993824000810","926.75","-58","1.39592251697593"
"E200 9366 C6B6 5A31 9071 BD68","1583993824006587","926.75","-48.5","4.65716567202081"
"E200 9366 C6B6 6571 9071 BD95","1583993824010624","926.75","-49.5","5.2032628325081"
"E200 9366 C6B6 55F1 9071 BD57","1583993824014788","926.75","-44.5","0.257708772364788"
"E200 9366 C6B6 6BF1 9071 BDAF","1583993824018425","926.75","-52.5","4.99770940693142"
"E200 9366 C6B6 7371 9071 BDCD","1583993824022264","926.75","-43.5","6.11137945893639"
"E200 9366 C6B6 5771 9071 BD5D","1583993824026182","926.75","-44.5","1.4419419406125"
"E200 9366 C6B6 5571 9071 BD55","1583993824029253","926.75","-44.5","4.828971520264"
"E200 9366 C6B6 65B1 9071 BD96","1583993824032954","926.75","-46.5","0.558369006790373"
"E200 9366 C6B6 5D71 9071 BD75","1583993824036715","926.75","-56.5","0.647339892487741"
"E200 9366 C6B6 63B1 9071 BD8E","1583993824040115","926.75","-54.5","0.171805848243192"
"E200 9366 C6B6 6C31 9071 BDB0","1583993824043284","926.75","-58","1.4204662095821"
"E200 9366 C6B6 63B1 9071 BD8E","1583993824079526","924.25","-54","0.727106893457794"
"E200 9366 C6B6 6C31 9071 BDB0","1583993824084034","924.25","-53","6.14512703626988"
"E200 9366 C6B6 5571 9071 BD55","1583993824087636","924.25","-45","2.38687410595006"
"E200 9366 C6B6 6571 9071 BD95","1583993824091554","924.25","-50","0.0490873852123405"
"E200 9366 C6B6 55F1 9071 BD57","1583993824095491","924.25","-44","4.28901028292825"
"E200 9366 C6B6 65B1 9071 BD96","1583993824099339","924.25","-45.5","1.5063691337037"
"E200 9366 C6B6 5771 9071 BD5D","1583993824103023","924.25","-44","1.91747598485705"
"E200 9366 C6B6 7371 9071 BDCD","1583993824106316","924.25","-43.5","0.518485506305347"
"E200 9366 C6B6 6BF1 9071 BDAF","1583993824109934","924.25","-52","5.76776776245001"
"E200 9366 C6B6 5A31 9071 BD68","1583993824113439","924.25","-48","5.44563179699403"
"E200 9366 C6B6 5D71 9071 BD75","1583993824116717","924.25","-53","4.75840840402126"
"E200 9366 C6B6 6BF1 9071 BDAF","1583993824122929","924.25","-52","5.79537941663195"
"E200 9366 C6B6 5A31 9071 BD68","1583993824126811","924.25","-48.5","5.43949587384248"
"E200 9366 C6B6 5771 9071 BD5D","1583993824130768","924.25","-44","1.91134006170551"
